#{"t_start": 1654173351.517508, "env_id": "A1GymEnv-v0"}
r,l,t
-0.489958,22,18.201902
-0.343752,38,41.620413
-0.430497,26,57.221231
-0.779136,66,98.594378
-0.300427,52,129.330667
-0.64902,84,180.283335
-0.477272,50,211.649979
-1.087677,75,256.152821
-0.493142,47,284.736053
-0.310691,31,303.46072
-0.291408,34,327.850315
-0.67166,163,479.920756
-0.354095,31,498.696641
-0.471214,71,541.11226
-0.439296,36,562.545556
-0.687936,79,609.998859
-0.572034,99,670.212273
-0.814186,50,704.032028
-0.197786,26,719.479303
-0.075088,13,727.176043
-0.504712,49,756.465006
-0.297498,93,812.005898
-0.43777,68,905.118013
-0.952785,93,960.708246
-0.251634,36,982.745311
-0.208276,56,1016.574642
-0.258816,57,1054.417243
-0.076253,39,1077.389787
-0.054473,26,1092.802424
-0.114546,21,1105.293796
-0.04966,28,1122.152964
-0.181733,22,1135.212273
-0.178141,41,1159.726795
-0.006935,23,1173.432042
-0.055331,19,1184.749843
-0.191018,46,1212.675647
-0.057744,25,1227.694172
-0.153948,32,1246.592634
-0.01225,32,1294.61946
-0.082461,27,1311.291086
-0.205153,22,1325.104201
-0.46834,41,1349.309833
-0.224296,26,1364.754719
-0.6379,34,1389.172447
-0.11728,18,1400.038785
-0.360928,30,1417.856084
-0.040057,27,1434.131665
0.001702,42,1459.334838
0.134872,29,1476.661511
0.134859,32,1495.637585
-0.128259,36,1517.183239
0.001511,26,1532.746432
-0.098363,57,1566.973855
-0.179862,45,1593.89745
0.17702,36,1615.40517
-0.491922,43,1641.223917
-0.078819,32,1683.201607
-0.251162,34,1703.450638
-0.610933,59,1742.615885
0.051794,52,1774.195905
-0.013505,27,1790.362179
0.222834,21,1802.878135
-0.010127,19,1814.342833
0.116725,30,1832.390877
-0.126554,16,1841.985262
-0.081116,26,1857.536362
-0.21972,28,1874.651724
-0.066529,32,1893.822706
-0.041228,19,1905.242546
0.148484,59,1940.536662
-0.073404,32,1959.65055
-0.141592,48,1988.217889
0.012816,37,2010.299657
-0.062716,34,2034.326118
0.00681,24,2048.578902
0.337004,28,2067.319373
-0.127567,18,2078.160875
-0.042825,19,2089.624888
-0.015553,19,2101.173973
0.075852,31,2120.035046
0.284872,33,2139.9615
-0.183398,26,2155.369205
0.060796,22,2168.584036
-0.02795,15,2177.702464
-0.031731,17,2187.941058
0.104791,29,2205.239466
0.02682,35,2226.601782
-0.061526,23,2240.373228
0.241815,43,2266.011214
0.145495,37,2288.159402
0.090905,17,2298.384515
-0.039013,27,2314.616946
-0.226897,51,2348.995381
0.076849,45,2375.873462
0.185397,52,2406.834171
-0.207207,31,2425.371357
0.14864,19,2436.537254
-0.06819,25,2453.368279
0.169089,29,2470.558498
0.004779,19,2481.840568
-0.173127,38,2504.495617
0.062884,24,2518.918969
0.309712,26,2534.510871
0.034228,17,2544.752516
-0.137506,25,2559.83775
0.299302,51,2590.091539
0.020487,35,2610.747607
0.044026,17,2620.842775
-0.096356,31,2639.190601
-0.566835,37,2665.589098
-0.038068,18,2676.464413
-0.023858,20,2688.299052
-0.124513,32,2707.38574
0.01881,14,2715.792044
0.327148,42,2740.997095
0.167643,53,2772.5622
-0.080841,23,2786.253537
0.144859,30,2803.980421
0.026471,17,2814.320449
-0.0022,46,2843.272105
0.074329,17,2853.412334
0.048158,36,2874.954933
0.111022,32,2893.933579
0.18089,41,2918.414626
-0.149859,34,2938.788196
0.008254,28,2955.486599
0.117491,24,2973.846837
0.04573,48,3002.533131
-0.06501,24,3016.794311
0.023312,27,3033.006885
-0.145904,26,3048.420907
-0.085687,23,3062.122533
0.077453,51,3092.69274
0.11585,21,3105.242893
0.038909,38,3128.10235
0.092643,17,3138.243314
0.058327,21,3150.79651
0.10793,47,3178.842609
0.071261,24,3193.14599
0.08182,24,3210.085612
0.018034,45,3237.556701
0.058183,18,3249.160978
0.102018,33,3270.124167
0.005221,11,3276.887213
-0.071961,19,3293.325209
-0.053582,24,3308.375087
0.127641,18,3319.648088
-0.020612,35,3342.405573
0.070149,17,3353.616608
0.078269,22,3368.815135
-0.116185,26,3386.337083
0.174117,19,3398.019518
0.059337,14,3406.538976
-0.068496,23,3420.640672
0.117394,70,3465.068657
-0.132316,43,3491.471452
0.092963,19,3502.988081
0.198245,44,3529.973731
0.060535,28,3547.103382
0.035931,26,3563.167192
-0.024564,24,3578.223808
0.04303,19,3589.840323
0.089899,15,3599.172427
0.030783,44,3631.755121
0.058034,21,3644.454301
0.137095,22,3657.996827
0.129478,33,3678.468081
0.097613,18,3689.531878
0.255785,28,3706.548608
0.024625,29,3724.261841
-0.031372,19,3735.979814
-0.043987,23,3749.983413
0.017547,10,3756.142008
0.190411,30,3774.427523
0.094428,29,3792.187121
0.088428,20,3804.51786
0.029544,16,3814.174824
0.021393,16,3823.970784
0.302516,28,3841.028441
0.324297,41,3866.218638
0.167283,26,3881.917111
-0.052577,11,3888.667987
-0.016456,23,3902.688279
0.19671,19,3914.277457
0.0914,31,3937.083814
0.337031,25,3953.017763
-0.167156,23,3967.397942
0.186823,18,3978.27946
-0.037298,44,4009.366609
0.143356,30,4027.733115
-0.011554,18,4038.731122
0.31595,52,4070.629916
0.055875,22,4083.952533
-0.034229,27,4100.518265
0.084459,42,4126.320655
0.068224,22,4139.775347
0.094764,30,4158.174139
0.229793,41,4183.063254
0.003979,22,4196.413285
0.197317,24,4210.799576
0.286259,23,4224.408444
0.313283,28,4241.128227
0.206272,44,4271.320772
0.144177,26,4286.726602
0.183046,18,4297.295325
0.144838,19,4308.429902
-0.004229,25,4323.3164
0.077417,10,4329.229519
0.152179,25,4344.029418
0.862094,50,4373.561359
0.782911,31,4393.880567
0.192207,20,4405.711072
0.058225,14,4414.017149
-0.047756,50,4443.445262
0.044588,17,4453.379574
0.016045,29,4470.423321
0.138205,31,4489.295996
0.374869,46,4516.825068
0.545842,59,4551.905096
-0.075812,24,4570.035911
0.378439,58,4604.537936
0.055916,15,4613.76435
0.027811,22,4626.885224
0.213971,18,4637.802279
0.188616,25,4652.918872
0.228412,20,4664.821788
0.152668,28,4681.907634
0.147461,21,4694.776453
0.100509,22,4708.336873
0.278764,33,4728.473067
0.097905,22,4741.733114
0.133879,16,4751.497153
0.276653,50,4783.218908
0.177885,33,4803.364927
0.189367,41,4828.315988
0.285631,30,4846.586398
0.075691,15,4855.72022
0.086683,22,4869.089459
0.006151,16,4882.644423
0.169832,15,4891.747056
0.065187,24,4906.456432
0.499059,45,4933.734387
0.307859,57,4968.528674
0.066142,17,4978.898522
0.432951,53,5011.200051
0.668595,49,5040.961393
0.145713,34,5061.484692
-0.040001,55,5094.658368
0.107365,17,5105.026855
0.277153,31,5123.982054
0.063728,23,5138.060399
0.291559,35,5160.540631
0.178103,34,5181.913966
0.253673,57,5220.711464
0.122109,41,5245.834484
0.438273,46,5273.519805
0.243178,26,5289.437079
-0.322999,29,5306.963374
0.092549,32,5326.302052
0.186403,37,5349.146798
0.267815,50,5379.454671
0.068577,19,5391.229459
0.266618,35,5412.89495
0.533856,51,5443.886052
0.03823,28,5460.725589
0.277703,31,5479.491296
0.166213,20,5491.551473
0.211218,36,5517.350382
0.400755,54,5551.973661
0.052974,9,5557.364906
0.350977,43,5583.415102
0.289508,46,5611.307254
0.688,81,5662.168561
0.388468,51,5693.211488
-0.003776,23,5707.010323
0.16275,41,5731.880759
0.323414,51,5762.985614
0.240458,38,5785.72977
0.158902,21,5798.402673
0.570089,62,5840.07386
0.160951,34,5860.837738
0.214895,26,5876.473254
0.259172,28,5893.400727
0.234759,35,5914.684916
0.019434,27,5934.201614
0.590438,62,5971.67994
0.262159,32,5991.135639
0.248277,41,6015.822228
0.144348,29,6033.068788
0.116284,13,6040.799362
0.311663,94,6097.89816
0.848145,73,6145.960989
0.249714,31,6164.684741
0.354064,61,6201.362668
0.342985,48,6230.342554
0.320351,40,6254.397525
0.639929,76,6300.311122
0.503663,50,6335.344083
0.188435,26,6351.006737
1.260882,78,6397.695478
0.306739,76,6443.409863
0.599676,64,6485.487175
0.341723,90,6539.319785
0.257753,24,6553.76368
1.010827,112,6621.216378
0.650397,109,6686.443303
0.694444,106,6759.504335
0.159781,24,6774.050776
1.835497,176,6885.625585
0.593097,95,6943.743496
1.466169,120,7014.965637
0.548438,75,7060.433505
1.526007,184,7182.061359
0.17411,17,7192.377823
0.829944,94,7248.633736
0.488404,55,7280.708329
0.518507,69,7323.308378
0.0098,11,7329.728077
1.212514,157,7434.241147
0.234109,94,7528.752278
3.214159,337,7738.316003
0.182783,31,7757.420506
3.638263,420,8054.274234
0.664727,84,8104.434132
0.163602,28,8120.6123
1.86222,177,8230.385018
0.497051,62,8267.160106
3.319055,390,8549.341947
8.705457,1000,9256.118445
1.169175,107,9321.431176
6.603642,693,9794.818237
4.301491,411,10102.053009
5.62255,449,10371.341046
10.201463,1000,11077.964131
2.426927,188,11188.98957
8.394696,1000,11897.141736
10.508781,1000,12550.212998
10.070099,787,13128.273164
13.871914,1000,13779.351568
11.439311,1000,14481.343963
10.227305,1000,15138.228957
12.025413,1000,15838.788731
11.182599,1000,16542.821796
11.023071,1000,17195.524103
15.312668,1000,17899.720365
12.952824,1000,18551.680729
14.581723,1000,19253.124866
13.826856,1000,19954.968287
15.476534,1000,20605.397027
16.429173,1000,21310.435889
19.329338,1000,21964.535162
15.720775,1000,22675.73435
16.806927,1000,23384.45817
17.047349,1000,24038.091709
17.332458,1000,24741.56064
20.853048,1000,25389.879755
19.082002,1000,26088.830613
14.710376,935,26705.423284
18.472442,1000,27420.575695
18.442913,1000,28126.966456
20.340691,1000,28782.992779
15.283637,912,29432.651208
18.128462,1000,30078.253024
21.572559,1000,30772.98557
17.680479,1000,31472.422385
22.272418,1000,32117.082723
14.384725,1000,32815.913698
21.325742,1000,33460.950301
23.694069,1000,34157.54129
4.747383,298,34335.906518
6.370899,304,34565.864337
24.22361,1000,35260.941127
17.96865,1000,35904.587589
16.20195,1000,36601.096439
22.090336,1000,37245.375791
19.744857,1000,37940.466016
21.59932,1000,38636.541455
19.072419,1000,39280.095519
21.279164,1000,39976.429904
19.655514,1000,40621.545949
22.558339,1000,41316.894005
20.12336,1000,42011.905915
