#{"t_start": 1654173350.0222924, "env_id": "A1GymEnv-v0"}
r,l,t
-0.270334,38,29.442289
-0.227729,39,53.265696
-1.72692,148,143.686151
-0.682862,44,170.264597
-0.44307,59,206.003471
0.170853,40,230.814979
-0.39976,31,249.115928
-0.101028,21,261.899159
-0.24445,25,276.894512
-0.268832,23,290.867521
-0.332377,66,334.641379
-0.475073,44,362.037055
-0.427173,47,391.219148
-0.315816,93,499.502777
-0.310856,32,518.482871
-0.218479,36,540.049118
-0.37782,38,562.774102
-0.327568,45,589.832331
-0.346171,30,607.798277
-0.511738,84,659.034727
-0.013026,39,682.354398
-0.426992,26,701.827703
-0.276058,31,720.294366
-0.140833,36,741.672163
-0.29824,24,756.027602
-0.43023,86,807.543094
-0.187834,31,878.567655
-0.339737,38,901.108091
-0.422895,40,924.922788
-0.297438,21,937.409473
-0.262785,38,960.248687
-0.120986,22,973.702489
-0.184885,28,990.557035
-0.556186,111,1061.098362
-0.024168,26,1076.411304
-0.084548,64,1114.549861
-0.136696,37,1136.604898
-0.183565,27,1152.773571
-0.359843,62,1189.728865
-0.06083,14,1198.172549
-0.264834,51,1229.077519
-0.184822,19,1240.344616
-0.084605,27,1284.939375
0.098483,45,1312.684236
-0.43263,34,1333.615401
-0.046445,17,1343.658442
-0.392208,25,1358.363019
-0.469516,36,1379.853616
0.007636,30,1402.010414
-0.195825,35,1422.921568
-0.188772,21,1435.511491
0.063154,33,1455.289163
-0.106292,21,1467.818933
-0.086568,25,1482.756982
-0.13208,13,1490.503723
0.075767,30,1508.374699
-0.202501,21,1521.016079
0.021001,33,1540.572541
-0.563471,45,1567.773568
0.04613,14,1576.066778
-0.262631,24,1590.381841
-0.21191,52,1621.553948
-0.699679,42,1646.837475
-0.155964,20,1658.689574
-0.0178,68,1726.005036
0.008464,12,1733.205447
-0.155348,19,1744.587468
-0.037393,26,1760.696793
0.023651,15,1769.588522
-0.126705,31,1788.159921
-0.087191,13,1795.883694
-0.207777,41,1820.622139
0.106476,30,1838.540881
-0.165831,42,1863.867073
0.066164,21,1876.651406
0.0874,23,1890.410748
0.016859,13,1898.209582
0.008141,63,1935.890692
-0.024116,28,1952.663441
0.02605,22,1965.780234
0.112665,29,1983.07728
-0.028681,27,1999.15463
0.040908,17,2009.35964
-0.119459,18,2019.941737
-0.0502,32,2042.845759
0.207628,26,2058.343166
-0.19601,37,2082.543132
-0.022768,15,2091.652253
0.10094,27,2107.999042
0.051283,32,2127.43636
0.013553,24,2141.962854
-0.032199,20,2153.737665
0.122348,32,2173.013094
0.159682,23,2186.901094
-0.001242,89,2240.621322
0.067829,19,2251.971714
0.188318,27,2267.980581
0.021389,35,2288.930584
0.062663,18,2299.766819
0.000904,27,2316.006623
0.144911,31,2334.507609
0.310063,36,2359.949526
0.090401,19,2371.371156
0.015272,30,2389.094834
0.018299,23,2402.94297
-0.263439,40,2426.746251
0.057588,48,2457.122777
-0.198792,47,2485.005319
0.069603,28,2501.692272
0.059794,38,2524.537099
0.084204,28,2541.342227
-0.049827,26,2557.055868
0.065717,43,2582.466316
0.068808,17,2592.700644
-0.160547,29,2609.711893
0.086536,16,2619.253899
-0.024858,41,2643.560494
0.109871,29,2665.072271
0.004915,33,2684.974851
-0.024863,27,2701.011103
0.048684,35,2721.888233
0.053039,20,2733.995737
0.006863,23,2747.722034
0.079787,13,2755.426551
-0.355064,47,2783.536062
-0.092234,15,2792.402386
-0.122413,43,2818.117684
-0.057127,48,2848.249382
0.300178,49,2877.529721
0.17337,29,2894.708475
0.052919,11,2901.230513
0.019022,15,2910.158619
0.066878,14,2918.528816
0.044361,18,2929.366681
0.248715,34,2949.648511
0.217768,15,2958.631881
-0.060099,14,2971.044971
0.143547,16,2980.609609
-0.049832,21,2993.235985
-0.06455,28,3009.812748
-0.122197,21,3022.36886
0.158098,27,3038.546619
0.157901,36,3059.961581
-0.005071,25,3074.978111
-0.234045,31,3093.463654
0.047592,20,3105.436403
0.099259,17,3115.582482
0.048115,17,3125.919305
-0.018226,31,3144.355379
0.126284,35,3165.412766
0.084464,16,3174.954987
-0.095942,25,3189.67957
0.130547,39,3215.986984
0.074991,32,3235.259856
-0.057771,12,3242.715788
0.110162,28,3260.880033
0.162092,22,3274.580185
-0.031605,17,3289.717311
0.024046,30,3308.563154
0.140633,28,3326.026155
-0.169331,41,3353.082876
0.1918,17,3363.871841
0.040342,17,3376.712955
-0.079266,17,3387.725902
-0.213538,29,3405.442075
-0.108217,17,3415.754422
-0.025116,13,3424.133049
-0.074045,20,3437.486063
0.107033,30,3455.99813
0.119339,22,3469.580569
0.105791,25,3484.876672
0.22323,65,3524.516266
0.006526,17,3535.028039
0.196756,52,3567.021019
0.010515,27,3583.931681
0.014468,27,3600.532921
0.172591,24,3620.727273
0.035808,32,3640.520406
0.129877,17,3650.75652
0.200139,22,3664.327195
0.208193,21,3677.398557
0.105786,31,3696.320005
0.086389,26,3712.241776
0.073023,10,3718.196966
0.036621,18,3729.43776
0.058054,25,3744.61685
-0.208293,25,3759.970377
0.051742,21,3772.760848
-0.072431,17,3783.166714
0.17234,22,3796.764397
0.149556,31,3815.565918
0.037543,22,3829.075176
0.155817,75,3874.868718
0.328979,38,3898.034798
0.149617,50,3932.358256
0.196585,36,3955.036438
0.162116,39,3979.084835
0.312693,37,4005.715619
-0.132477,29,4023.690859
0.109043,42,4049.344204
0.131501,24,4064.1005
0.090235,72,4108.07465
0.320034,48,4137.527604
0.540653,53,4169.97426
0.236277,19,4181.454988
0.021958,17,4191.755447
0.158287,35,4212.786689
0.30893,61,4253.185508
0.107458,31,4271.536545
0.056762,20,4283.341928
0.012372,25,4298.123231
0.186982,26,4313.386104
0.228781,71,4355.464678
-0.212894,38,4377.929529
0.122259,27,4395.869514
0.029895,23,4409.519448
0.110494,32,4428.451267
0.141829,18,4438.971237
0.381581,75,4483.269685
0.109989,32,4502.570116
0.168946,19,4514.077509
0.116185,20,4525.842917
0.210014,26,4541.438642
0.111877,16,4550.872748
0.060111,21,4567.194522
0.089769,13,4575.015811
0.211894,32,4594.117512
0.357007,53,4625.896572
0.169103,19,4637.32192
0.156012,32,4656.688969
0.217613,35,4677.747075
0.326034,33,4698.097019
0.12868,20,4710.379742
0.474457,75,4755.970291
0.266233,33,4777.390461
0.153012,31,4796.153647
0.241339,22,4809.628422
0.024815,27,4826.064668
0.470272,48,4855.263039
-0.18398,31,4878.09033
0.158854,48,4907.231252
0.063541,20,4919.244838
0.237125,46,4947.329703
0.31523,34,4968.037251
0.253689,16,4977.843938
0.116716,25,4993.144798
0.119965,15,5002.237563
-0.083788,22,5015.663794
0.352828,65,5055.057247
0.117972,21,5067.733005
0.21095,29,5085.199129
0.18713,40,5109.495951
0.399373,69,5152.770188
0.023268,38,5176.268618
0.132177,32,5200.136498
0.298234,29,5217.879488
0.08749,25,5233.086585
0.1678,15,5242.285303
0.151794,18,5253.305741
0.164687,17,5263.489071
0.252688,51,5294.446626
0.266618,42,5319.894884
0.147508,34,5340.416271
0.215217,35,5362.227627
-0.010975,13,5370.110069
0.125246,25,5385.132145
0.439365,42,5411.187969
0.29152,35,5432.632972
0.330029,42,5457.829669
0.788519,57,5492.321229
0.257604,28,5513.354809
0.115602,14,5521.642349
0.37732,56,5557.556247
0.267234,32,5576.924451
0.192157,32,5596.076204
0.311994,32,5615.805579
0.100113,16,5625.460192
0.129333,14,5633.968518
0.111387,30,5652.729694
-0.027744,18,5664.786945
0.236197,25,5679.81456
0.482124,57,5714.47963
0.332128,57,5749.194686
0.271766,27,5765.585711
0.18535,41,5790.125161
0.103424,12,5797.358946
0.156311,39,5821.020998
0.348079,40,5849.352056
0.545993,145,5940.401327
0.04401,45,5967.508077
0.031771,27,5983.959129
0.394457,55,6017.209345
0.61645,66,6056.893825
0.224002,28,6073.827474
0.768484,84,6124.663276
0.329786,33,6148.572327
0.385162,47,6176.976937
