#{"t_start": 1654173350.159315, "env_id": "A1GymEnv-v0"}
r,l,t
-0.70024,65,45.911109
-0.438119,67,87.745948
-0.259894,51,118.171509
-0.132637,14,126.441843
-0.312837,44,153.119941
-0.454164,48,182.142159
-1.083883,51,214.154792
-1.146,120,285.987473
-0.509276,62,327.279356
-0.072277,31,346.05735
-0.289317,57,381.696481
-0.153927,23,448.237288
-0.093733,29,465.578705
-0.12893,30,483.568089
-0.438262,45,510.634946
-0.735427,71,553.066306
-0.363209,49,582.415265
-0.171286,15,591.535772
-0.279324,29,608.85805
-0.390015,36,630.676937
-0.273533,28,648.074314
-0.596156,53,679.86572
-0.440878,76,729.063288
-0.13932,30,746.91336
0.191465,53,778.901396
-0.189034,14,787.245064
-0.083131,16,796.71508
-0.23028,30,814.441719
-0.067473,25,882.010857
-0.047437,27,898.018342
-0.125855,27,914.102094
-0.236285,39,937.291827
-0.290091,16,946.77029
-0.157525,21,959.506144
-0.834673,35,980.925772
-0.371798,62,1018.425025
-0.107191,19,1029.742023
-0.246854,49,1062.736694
-0.261277,48,1091.163499
-0.062723,47,1119.224339
-0.192827,27,1135.223751
-0.142633,24,1149.72858
-0.147214,21,1162.144116
0.005903,31,1180.588718
-0.620816,35,1201.613189
-0.336418,33,1221.664729
0.000572,35,1242.610183
-0.27193,28,1287.786622
-0.570585,30,1306.462633
-0.18795,32,1326.371366
-0.144866,18,1337.111007
-0.056272,57,1370.776855
-0.082962,52,1406.082567
-0.13295,51,1436.56185
-0.187054,32,1455.753709
-0.362648,41,1480.314051
-0.058348,22,1493.359457
0.06553,25,1508.255836
-0.0678,35,1529.132398
-0.371073,34,1549.390232
0.0792,16,1559.026358
0.085521,29,1576.543373
-0.409572,30,1594.504575
-0.384287,73,1638.343329
-0.051945,16,1647.934575
-0.23205,47,1698.834439
-0.018986,24,1712.997172
-0.202078,38,1739.676504
0.065419,28,1756.790064
-0.026465,23,1770.678787
-0.07083,21,1783.344206
0.019566,24,1797.511446
-0.413424,49,1827.059673
0.011464,22,1840.19726
0.037131,14,1848.556159
-0.040501,37,1871.0418
-0.033839,25,1886.131711
-0.078999,27,1902.32039
-0.210452,17,1912.551805
0.188976,48,1941.15333
-0.080458,24,1955.499205
0.013139,12,1962.758002
0.020117,23,1976.3708
0.083411,21,1988.900504
0.084682,21,2001.439409
-0.468781,38,2023.869132
0.072145,22,2040.920948
-0.010909,31,2059.409551
-0.072533,23,2075.18345
-0.178957,30,2093.319057
-0.082315,30,2111.576504
-0.077102,45,2138.75295
0.010359,39,2162.050946
-0.413352,29,2179.580536
0.31041,58,2214.378025
0.002885,23,2228.457968
-0.650816,44,2254.765904
-0.077759,23,2268.460539
-0.060143,21,2281.011794
0.064892,16,2290.654758
-0.119297,17,2300.850765
-0.181601,17,2311.020045
0.101237,31,2329.49704
0.030408,21,2342.221459
-0.36529,29,2363.465765
-0.027494,17,2373.582032
0.099104,52,2404.628561
-0.123473,35,2425.422702
0.162367,16,2434.834523
0.313254,46,2464.088565
0.027973,22,2477.193101
-0.09452,32,2496.149152
0.07614,27,2512.364273
0.052935,33,2532.240485
0.002427,26,2547.854148
-0.06433,17,2558.160917
0.068335,11,2564.587689
-0.046027,23,2578.022416
0.002148,38,2600.768249
-0.114318,31,2619.137823
0.058604,20,2630.979408
-0.043301,42,2659.877466
0.097918,49,2689.560394
0.25721,39,2712.850034
0.065797,30,2730.866988
0.157483,23,2744.593228
0.040787,22,2757.666923
-0.049414,16,2767.145934
-0.037836,30,2785.175521
0.126653,25,2799.999905
-0.006404,34,2820.441256
-0.221502,50,2851.711872
-0.042117,13,2859.414636
0.156688,24,2873.839265
0.084615,33,2893.382681
-0.058416,24,2907.639566
0.292815,67,2947.784011
0.040407,14,2956.164625
0.132084,17,2970.285596
0.000517,17,2980.492811
0.029928,13,2988.238129
0.090202,22,3001.419405
0.139463,29,3018.703028
0.053661,32,3037.81442
0.1285,21,3050.344411
0.096397,30,3068.255811
-0.034822,82,3117.32958
0.107677,28,3134.14182
0.058579,23,3147.791171
-0.111992,48,3176.573857
0.259989,37,3198.611583
0.322419,30,3219.601729
0.069374,18,3230.21665
0.102167,28,3247.82329
0.094816,28,3265.853015
0.018364,24,3280.703958
0.111888,11,3292.121008
0.055283,25,3307.808991
0.115209,16,3317.813436
0.085375,25,3333.446139
-0.135177,34,3356.12539
-0.090102,17,3367.827904
0.016151,30,3388.213508
0.065661,32,3407.774625
0.076588,9,3413.18604
0.0909,25,3428.94845
0.18692,17,3440.398878
