#{"t_start": 1654173347.817025, "env_id": "A1GymEnv-v0"}
r,l,t
-0.366802,68,49.902314
-0.353891,26,65.319032
-2.076627,157,161.201428
-0.723741,70,203.657407
-0.167421,23,218.734014
-0.393449,22,231.755385
-1.132452,144,318.368042
-0.422145,33,342.161212
-0.042419,14,350.592158
-0.448472,57,386.305737
-0.331123,48,467.749524
-0.287166,52,499.128772
-0.326208,52,530.060039
-0.247393,65,568.942956
-0.173478,36,590.634765
-0.770284,125,666.441714
-0.119163,63,708.098915
-0.780575,87,759.90647
-0.038036,18,770.745981
-0.492569,39,794.181413
-0.127709,25,808.990334
-0.422507,60,897.253465
-0.169345,32,916.263421
-0.02901,26,931.724721
-0.299035,42,956.716933
-0.415645,51,987.953169
-0.063867,21,1000.550854
-0.369515,57,1034.965372
-0.329892,69,1079.695099
-0.087774,16,1089.206637
-0.284473,55,1122.027262
-0.300721,31,1140.446151
-0.172438,22,1153.661694
-0.048838,58,1188.196732
-0.396971,37,1210.704519
-0.171763,27,1226.8993
-0.467101,38,1249.462691
-0.091327,54,1311.060359
-0.369021,33,1331.561263
0.040406,23,1345.145142
-0.268358,85,1399.86977
-0.103641,38,1422.536431
-0.073112,49,1451.938701
-0.056417,17,1462.139803
0.041108,27,1478.280567
-0.23016,29,1495.525522
-0.005121,19,1506.901871
0.008832,18,1517.74911
-0.221888,41,1542.030159
0.040819,26,1557.642576
-0.160267,43,1583.502088
-0.543147,56,1616.989265
-0.119798,34,1637.55691
-0.032627,11,1644.050129
-0.120133,40,1690.916664
-0.008241,26,1706.316074
0.311735,66,1749.567997
-0.104852,50,1780.073453
-0.161549,31,1798.516586
-0.018307,39,1822.060699
-0.075346,31,1840.558223
-0.143068,21,1853.206527
-0.077583,17,1863.428315
-0.192614,50,1893.692478
-0.021015,32,1912.913741
0.03573,18,1923.545951
-0.145431,35,1944.585053
-0.023286,30,1962.457725
-0.045872,32,1981.635394
-0.046967,20,1993.515034
-0.165492,22,2006.641748
-0.060827,21,2019.078688
-0.015059,37,2044.895601
0.122143,16,2054.480104
-0.080245,57,2090.64452
0.043662,12,2097.917272
0.128975,15,2106.991193
0.030343,32,2126.470603
0.205402,29,2144.012784
0.104703,37,2166.016628
-0.039838,14,2174.451827
0.015179,38,2197.377062
-0.050857,28,2214.163325
-0.167401,28,2231.245779
0.029428,54,2263.478226
-0.151925,24,2277.857227
-0.127086,56,2311.340207
-0.009593,24,2325.735771
-0.182703,18,2336.544363
0.089366,31,2359.012179
-0.019082,19,2370.455215
0.124915,23,2384.093096
-0.091324,17,2394.152141
-0.235381,17,2404.357787
0.061744,27,2420.407135
0.163625,18,2431.220088
0.055629,19,2442.35401
0.028553,34,2464.471683
0.161921,27,2480.572422
-0.148432,40,2504.360251
-0.075157,26,2519.950832
0.100906,37,2542.214003
0.039524,19,2553.72446
0.185029,22,2566.750665
-0.229418,39,2589.896388
0.014587,18,2600.597667
0.058227,39,2623.718749
-0.058226,23,2637.269617
-0.036158,27,2653.31638
0.031985,24,2672.141694
0.04823,21,2684.660562
0.125001,13,2692.353658
-0.068524,22,2705.462794
0.113603,18,2716.203917
0.069786,17,2726.376034
-0.041227,18,2737.263594
0.058107,31,2755.711425
0.220773,42,2780.673851
-0.002747,20,2792.687336
-0.000239,19,2803.848659
0.012222,24,2818.362927
-0.007834,18,2830.593411
0.002829,18,2841.423152
0.061073,42,2866.374976
0.060762,11,2872.981797
-0.129812,38,2895.565887
-0.290037,30,2913.438801
-0.041752,22,2926.627263
0.057582,20,2938.647953
0.023855,44,2964.88239
0.109411,22,2982.076066
-0.452196,44,3008.324373
0.318653,23,3022.053822
0.129818,24,3036.418188
0.005014,25,3051.299999
-0.04021,53,3082.990695
0.27315,48,3111.644038
0.096163,52,3142.895573
0.038306,16,3152.412361
-0.273847,57,3186.479897
-0.046247,33,3206.7667
0.001564,23,3222.940066
0.112116,28,3239.759186
0.054835,22,3253.982699
-0.076721,25,3269.914393
0.096356,25,3289.902717
0.133906,18,3301.137607
-0.036671,24,3316.219369
-0.064372,19,3328.076079
0.1216,21,3341.819088
0.223528,22,3356.364688
0.244902,28,3375.840589
0.146385,25,3392.258641
0.091117,26,3408.107085
0.080339,23,3422.059168
0.167549,30,3441.980524
-0.112032,21,3455.003132
0.09869,20,3467.317635
0.075111,14,3475.919582
0.219533,30,3494.284461
0.070464,38,3517.275447
0.097116,13,3525.298727
0.016269,14,3534.052336
0.249703,24,3548.792173
0.238215,33,3569.071842
0.055149,30,3587.820966
0.018486,27,3604.450824
0.096998,22,3623.431861
0.157703,35,3644.957659
0.316367,42,3670.661647
0.078619,27,3687.456368
0.130377,14,3695.973576
0.318458,30,3714.262408
0.108662,25,3729.584698
0.125403,14,3738.216607
0.142013,20,3750.352769
-0.042546,24,3765.072296
0.042035,35,3786.47906
-0.060685,13,3794.450195
0.247096,22,3807.979601
0.066058,39,3831.743732
0.101139,21,3844.456001
-0.641385,38,3867.774748
0.080517,22,3881.106335
0.395065,67,3922.050046
0.047435,18,3936.858147
0.178456,32,3957.081085
0.079373,18,3968.305158
0.048818,34,3989.534565
-0.042779,23,4007.212068
0.221397,34,4028.214851
-0.088773,30,4046.410825
-0.034187,20,4058.77798
0.257845,37,4081.338097
0.216556,18,4092.282044
0.13996,14,4100.943831
0.159493,19,4112.601708
0.129434,17,4123.060135
-0.223022,53,4155.495532
-0.114833,31,4174.513384
-0.001361,26,4190.205329
0.169437,20,4202.341852
0.29837,63,4239.809121
0.133677,34,4264.196995
0.12024,23,4277.696024
0.077848,14,4285.981913
0.341014,43,4311.28907
0.185815,22,4324.375213
0.075771,32,4343.389645
-0.014515,40,4367.068105
0.01193,15,4375.814769
0.197646,41,4402.139115
0.258686,24,4416.241394
0.229629,24,4430.508455
0.236394,17,4440.446619
0.197334,22,4453.327487
0.315699,41,4477.362505
-0.101549,74,4522.083727
0.18079,33,4541.672006
0.20994,53,4577.072172
0.080244,19,4588.494001
-0.003142,25,4603.333239
-0.023878,24,4617.835319
0.415967,41,4642.48891
0.270808,38,4665.341075
0.171062,41,4690.231201
0.187045,29,4708.172028
0.299887,30,4726.446857
0.211766,27,4742.818118
0.130342,16,4752.468119
0.073376,26,4769.700456
0.082778,36,4791.583663
0.114517,17,4801.921528
0.188489,18,4812.916153
0.170146,45,4840.26203
0.110359,48,4869.460478
0.407013,37,4895.800469
0.015049,28,4912.943762
-0.107996,17,4923.164969
-0.081576,17,4933.535777
0.009674,24,4948.12598
-0.003703,18,4959.102066
0.286577,47,4987.90591
0.313314,40,5012.294112
0.054942,37,5034.748415
0.032999,22,5048.047423
0.575594,53,5079.939621
0.181917,24,5094.444599
0.16459,31,5113.426863
0.121729,59,5150.616528
0.293343,47,5179.625844
0.534184,65,5223.546325
0.136819,47,5252.313097
-0.12071,42,5277.584645
0.194676,49,5307.427675
0.408214,43,5333.356124
0.157705,34,5354.468571
0.121492,20,5366.725629
0.397067,39,5390.266023
0.381053,43,5416.942908
-0.088166,15,5426.072711
0.100873,21,5438.8686
0.273869,48,5467.835178
0.577845,47,5496.235769
0.135241,23,5514.162561
0.177068,51,5546.822793
0.349232,32,5566.243044
0.377666,55,5599.312737
0.062133,16,5609.279253
0.274637,30,5627.512263
0.102658,20,5639.611509
0.130429,38,5664.365916
0.158217,26,5680.042778
0.227576,35,5701.450205
0.075958,26,5717.153223
0.291238,50,5747.585186
0.086305,23,5761.550778
0.18759,22,5774.809655
0.235683,33,5794.622207
0.739575,86,5850.834287
0.549313,56,5884.74526
0.147265,35,5905.921674
0.083253,32,5925.428404
0.334376,33,5948.501303
0.569498,41,5973.246585
0.096202,77,6019.906905
0.638046,100,6080.141871
-0.38726,48,6109.216745
0.689384,56,6146.953352
0.780082,76,6192.868609
0.051318,16,6202.399723
0.404563,48,6231.441871
0.647132,81,6280.178888
0.44762,36,6301.907021
0.326812,49,6336.345556
0.159953,60,6372.361484
0.622246,133,6452.281511
0.362444,33,6475.842275
0.25858,52,6506.653705
0.233125,31,6525.275218
2.618702,369,6756.423259
0.465317,50,6790.4002
0.789427,95,6848.674439
0.152621,37,6870.820033
0.866012,84,6922.504452
0.258712,44,6949.563133
0.619477,34,6969.590803
0.457918,118,7040.934074
1.547578,168,7152.466058
0.411847,81,7201.496005
0.082446,34,7221.784685
3.71607,428,7526.320933
7.416369,787,8051.704041
2.847154,423,8307.872359
8.238089,825,8905.467891
2.811638,240,9047.542729
10.045959,1000,9759.389043
11.866529,1000,10419.885536
9.611385,1000,11126.830845
7.688613,1000,11834.026811
8.689739,1000,12488.429317
9.48512,1000,13192.484845
8.500406,555,13575.133188
14.816584,1000,14226.132428
11.95882,1000,14933.612649
3.234239,260,15088.53265
10.531984,1000,15793.094993
13.837177,1000,16444.732674
12.90368,1000,17150.021989
12.261368,1000,17853.988115
12.271928,813,18395.391658
20.095356,1000,19096.516828
3.018243,198,19213.898071
16.176839,1000,19863.971649
14.332112,1000,20566.50499
14.662241,1000,21271.33323
12.37337,1000,21925.045942
13.494763,1000,22636.223831
20.882567,1000,23292.709659
16.624045,1000,23999.122987
1.367378,80,24046.50227
16.845133,1000,24749.736867
16.14681,1000,25398.08079
17.659467,1000,26097.002419
18.848473,1000,26806.014557
5.182071,362,27020.795284
20.552375,1000,27734.358352
19.631407,1000,28393.700794
18.272807,1000,29097.166734
17.304986,1000,29798.518761
24.001999,1000,30441.596461
22.519827,1000,31139.03211
16.910535,1000,31785.487648
17.749902,1000,32482.09594
19.687005,1000,33181.163705
23.579697,1000,33826.671978
22.478364,1000,34522.967976
8.152726,410,34767.002382
22.996026,1000,35462.130603
20.987658,1000,36156.478747
26.010355,1000,36802.745469
22.575802,1000,37497.591496
21.818017,1000,38140.535819
19.55735,1000,38832.266271
21.981195,1000,39528.809889
21.027621,1000,40174.062012
21.344505,1000,40870.407929
19.415128,1000,41513.7001
23.640287,1000,42209.382363
