#{"t_start": 1654173350.567512, "env_id": "A1GymEnv-v0"}
r,l,t
-0.002891,27,22.10082
-0.161114,17,32.593334
-0.48114,66,72.376371
-0.347211,75,118.977744
-1.618452,74,163.533367
-0.350835,18,174.617057
-0.016014,29,192.110945
-0.53932,118,263.737788
-0.332712,36,285.616679
-0.353595,21,298.20277
-0.258629,21,310.876206
-0.182976,28,331.759003
-0.166877,60,369.083657
-0.562718,52,453.266929
-0.351779,33,473.016595
-0.477452,43,499.001783
-0.671314,50,528.789303
-0.689825,57,562.875768
-0.697226,43,588.709832
-0.444013,56,622.336059
-0.46722,104,689.470701
-0.25645,40,713.303498
0.021365,46,740.566552
-0.072984,30,758.586996
-0.97704,141,895.247643
-0.341339,26,910.78246
0.179128,37,932.747609
-0.194624,44,959.135093
-0.366264,32,978.684242
-0.045129,21,991.297629
-0.011384,28,1008.410581
-0.150813,28,1025.196548
-0.514578,32,1044.162997
-0.103214,37,1070.047297
-0.184787,27,1086.040341
-0.060966,32,1104.990078
-0.197909,55,1137.870782
-0.119862,17,1148.118536
0.069482,46,1175.539374
-0.296488,80,1223.669238
0.02298,26,1239.210314
-0.424298,37,1289.760697
-0.110317,14,1298.681097
0.016104,35,1320.324538
0.140683,67,1360.231871
-0.028547,53,1396.054357
-0.034576,64,1434.381654
0.135022,35,1455.381833
0.013739,32,1474.48232
-0.602302,52,1505.533771
0.034332,24,1519.898765
-0.126569,32,1538.87903
-0.081396,56,1572.554847
0.002776,26,1588.079125
-0.37568,42,1613.211645
-0.150127,27,1629.616074
-0.223732,25,1644.494734
-0.231742,23,1658.187701
-0.106348,44,1707.331558
-0.207344,37,1733.323411
0.034931,41,1758.236417
-0.039161,19,1769.689847
-0.047281,30,1787.65673
0.167238,21,1800.138892
-0.140653,21,1812.803818
-0.075759,22,1826.083494
-0.050659,11,1832.656414
0.138986,90,1886.952118
0.025691,43,1912.741032
-0.128225,29,1929.915694
0.006622,32,1949.100402
-0.060827,33,1968.760053
0.104655,30,1986.696199
-0.290383,22,1999.828878
0.021236,31,2018.268448
-0.012955,35,2042.908033
-0.205551,31,2061.477341
-0.069562,18,2074.204287
0.047179,24,2088.676398
0.119097,13,2096.57999
-0.145133,15,2105.663294
-0.017093,19,2117.259842
-0.047228,14,2125.718823
-0.053857,28,2142.582549
-0.177795,31,2161.076047
-0.084847,27,2177.290395
-0.105865,25,2192.417639
-0.065892,27,2208.565589
-0.062672,22,2221.836144
-0.181101,28,2238.952036
-0.136759,35,2259.745489
0.239857,29,2277.06512
0.108214,21,2289.666359
-0.014041,20,2301.597709
-0.081228,17,2311.809008
-0.047504,20,2323.779371
-0.030797,37,2349.867143
0.019182,30,2367.900885
0.026355,26,2383.297968
0.199625,47,2411.245224
0.000992,22,2424.440503
-0.018286,12,2431.571068
0.04895,15,2440.410999
0.087922,21,2454.826112
-0.04266,13,2462.500525
0.051479,25,2477.394356
0.047114,16,2486.906202
-0.141298,30,2504.783208
0.16463,35,2525.861256
-0.008238,20,2537.787438
0.013936,29,2555.354448
0.119281,16,2564.79935
0.182282,24,2578.877022
-0.543437,36,2600.397859
-0.024955,18,2611.036257
-0.195142,31,2629.416013
0.110587,23,2643.059705
0.12308,18,2653.785985
-0.259349,22,2671.370054
0.015824,21,2683.872365
-0.021236,27,2699.90292
0.460133,45,2726.875324
0.115403,33,2746.629518
0.079078,33,2766.166546
-0.091592,30,2784.218343
0.169368,20,2796.015739
0.308199,40,2820.072852
0.003798,11,2828.056272
0.110076,45,2854.929945
0.1088,28,2871.633734
-0.094121,34,2891.803184
-0.061276,41,2916.242524
0.112112,25,2931.361861
0.191457,30,2949.155246
-0.103,15,2958.130932
0.164045,27,2978.326694
0.049633,14,2986.659208
0.114838,25,3001.65228
0.11562,19,3012.874852
0.200226,31,3031.468272
0.112378,44,3057.72609
-0.073138,29,3075.030931
-0.218752,44,3101.362945
0.033305,13,3109.091198
0.029285,23,3122.982544
0.242986,29,3140.352858
-0.171734,36,3161.855696
0.027228,11,3168.551726
0.111952,16,3177.963704
-0.233037,39,3201.651273
-0.120027,25,3219.228491
0.297198,45,3246.7869
-0.029898,25,3262.857325
0.047827,29,3281.029883
-0.123439,48,3315.548158
0.144995,16,3325.523052
0.192836,23,3340.688671
-0.05953,30,3360.270886
0.115988,21,3375.490367
0.083959,22,3389.68968
-0.124132,29,3407.404145
0.065803,12,3414.680191
0.025077,23,3429.179132
0.007939,42,3456.106778
0.105143,20,3468.45599
0.07389,24,3483.12318
-0.092829,28,3500.191518
0.077396,19,3511.614574
-0.27093,22,3525.292172
0.116998,19,3536.885475
0.108179,29,3554.860696
0.120394,43,3581.623594
-0.042364,22,3595.050741
0.036814,21,3613.576876
-0.212427,47,3642.404711
0.276555,36,3664.446835
0.021915,26,3680.580522
0.329078,27,3697.039187
-0.070193,23,3711.083573
0.34262,39,3735.03208
0.122638,25,3750.264103
0.124254,39,3774.142909
0.105643,32,3793.78286
0.425554,53,3826.102263
0.05295,50,3856.580697
0.122804,30,3874.979442
-0.102644,42,3900.530512
0.374016,54,3937.363692
0.343234,41,3963.283962
0.610371,59,4003.412846
0.082228,19,4015.171368
0.132399,35,4036.552174
0.202339,17,4046.90066
0.334482,39,4070.934655
0.195066,24,4085.436437
0.267602,67,4126.612876
0.095724,21,4139.476079
-0.025532,29,4157.256416
0.171355,40,4181.581227
0.162695,18,4192.388218
0.230772,24,4207.043729
-0.000961,15,4215.757367
0.092625,23,4229.487872
0.002435,23,4243.161987
