#{"t_start": 1654173351.1091363, "env_id": "A1GymEnv-v0"}
r,l,t
-0.475068,41,30.261873
-0.749301,59,65.798768
-0.309775,58,102.468616
-0.335447,71,145.097204
-0.232906,34,165.417893
-0.258871,28,182.485143
-0.474437,60,219.850968
-0.381236,81,268.106274
-0.421487,22,281.48271
-0.32037,25,296.505105
-0.645631,45,327.614744
-0.275015,47,356.52117
-0.375134,41,381.995815
-1.566266,126,510.344869
-0.169065,19,521.618567
-0.107177,27,537.811014
-0.638696,81,586.334099
-0.23012,63,624.254395
-0.068551,22,637.837206
-0.239969,48,666.940011
-0.607451,35,691.964419
-0.197156,26,707.395943
-0.040767,30,725.164296
0.013395,31,743.622943
-0.467369,51,774.406337
-0.1304,18,785.16669
-0.396431,81,885.755075
-0.498425,31,904.28545
-0.624294,91,958.644439
-0.161435,18,969.653698
-0.131567,32,988.944986
-0.25634,35,1010.392504
-0.264511,51,1040.690568
-0.096127,17,1054.783614
-0.453524,33,1074.196938
-0.11013,30,1091.986911
-0.23024,27,1108.1539
0.062395,31,1126.744241
-0.058067,40,1150.573032
-0.122511,84,1200.745421
-0.331181,42,1226.236337
-0.077133,54,1286.917567
0.077909,73,1332.011767
-0.254147,23,1345.589
-0.293971,33,1365.129601
-0.03555,21,1377.631632
-0.153321,24,1396.18428
-0.038459,16,1405.828053
-0.119721,48,1434.503551
-0.182782,44,1460.903532
-0.378649,28,1477.625468
0.003876,20,1489.493889
-0.331014,72,1532.505048
-0.030649,19,1543.675058
-0.00778,18,1554.58636
-0.135585,28,1571.461123
-0.026316,53,1603.223362
0.002391,34,1623.734396
-0.194431,23,1637.503752
-0.001828,22,1650.576741
-0.206884,20,1685.419734
0.09046,20,1697.305271
-0.006089,28,1713.927137
0.007358,35,1738.81204
-0.079501,47,1767.341947
0.054189,17,1777.606454
-0.076696,17,1787.782941
-0.08087,18,1798.480346
0.104856,44,1824.968564
-0.115643,45,1851.987602
0.119889,65,1891.176763
-0.222305,31,1909.851952
-0.105332,41,1934.255182
