#{"t_start": 1654173347.6727057, "env_id": "A1GymEnv-v0"}
r,l,t
-0.215425,14,17.001119
-0.08747,102,79.205942
-0.158383,39,103.918405
-0.209017,32,122.855779
-0.275437,80,171.065493
-0.361996,28,188.076958
-0.323615,50,219.491646
-0.449747,49,248.428418
-0.916097,93,304.590124
-0.369118,28,325.369818
-0.323071,22,338.736255
-0.183323,38,362.265346
-0.098702,30,381.026311
-0.236392,45,460.78281
-0.503123,104,523.041801
-0.097021,45,550.034455
-0.269917,16,559.656936
-0.400448,75,604.564594
-0.346917,19,616.049907
-0.318066,29,633.615386
-0.368349,27,650.370807
-0.300704,27,666.565605
-0.753196,78,717.188271
-0.100508,15,726.060361
-0.280341,50,755.824863
-0.07674,13,763.634887
-0.189145,35,784.873303
-0.016169,27,800.857285
-0.333178,18,811.508358
-0.152272,23,877.764486
-0.264305,39,900.940868
-0.174805,36,922.441878
-0.428674,80,970.429346
-0.046309,23,984.469596
-0.158324,39,1007.978764
-0.060941,22,1021.339842
-0.004206,72,1068.023782
-0.495594,41,1092.296173
-0.107136,32,1111.348965
-0.05694,17,1121.520316
-0.453949,97,1179.407008
-0.585641,130,1285.998778
-0.155816,33,1306.381686
-0.286067,38,1329.876615
0.157416,54,1361.72729
-0.152815,30,1379.617776
-0.172932,19,1395.066602
-0.028428,16,1404.815459
0.113124,17,1414.920199
0.075432,25,1429.881863
-0.080325,15,1438.886097
-0.014959,42,1464.086011
-0.273655,26,1479.623502
-0.053953,62,1516.659002
-0.426502,36,1538.092862
-0.33158,55,1571.166282
-0.343599,44,1597.471647
-0.164359,24,1611.809562
0.046531,27,1628.145988
0.135889,69,1692.268384
-0.029013,17,1702.354373
-0.082947,18,1712.971577
-0.267032,29,1734.210991
0.014692,73,1778.385442
-0.070401,16,1788.013429
-0.310222,49,1817.328192
-0.072086,25,1832.349255
0.150792,20,1844.331372
0.150312,51,1875.188627
0.106139,60,1911.248641
0.171763,61,1947.686555
0.016504,30,1965.687985
-0.323766,80,2013.292021
-0.034184,54,2049.231361
0.016175,13,2057.003675
0.222291,32,2078.13748
0.084012,33,2098.039551
-0.038746,12,2105.380001
-0.083923,23,2119.328206
0.009804,15,2128.424535
-0.098362,17,2138.662822
-0.112809,20,2150.511894
-0.010474,23,2164.372276
0.106029,21,2176.975288
-0.16952,30,2195.116653
-0.063641,21,2207.64621
-0.011927,15,2216.690481
