#{"t_start": 1654173352.9584074, "env_id": "A1GymEnv-v0"}
r,l,t
-0.376645,21,16.236134
-0.454809,26,32.200202
-0.714652,56,65.943362
-0.295276,18,77.716833
-0.228332,20,90.537565
-0.819802,94,146.9157
-0.315931,28,163.712027
-0.428785,25,178.939088
-0.037071,45,206.977154
-0.257888,39,230.471988
-0.44276,23,244.063619
-0.358424,41,268.812306
-0.254717,30,286.963489
-0.138788,23,300.930255
-0.190311,29,322.238079
-0.385909,36,344.019796
-0.104552,24,359.31953
-0.285173,63,450.424792
0.129979,25,465.327085
-0.421515,50,495.54237
-0.322292,51,525.927821
-0.318039,36,547.498904
-0.329123,43,573.113291
-0.492439,43,599.029111
-0.516811,88,652.64827
-0.658377,37,674.803023
-0.105755,27,695.033271
-0.130803,18,705.666873
-0.534274,72,748.451887
-0.256306,26,764.146194
-0.103463,35,785.234263
-0.198967,18,795.930027
-0.593274,80,896.017284
-0.041597,49,925.114551
-0.162761,47,953.159544
-0.283376,29,971.000088
-0.411462,56,1004.940944
-0.096738,22,1018.229038
0.162279,39,1041.320024
0.134457,49,1074.265463
-0.141868,16,1083.81437
0.112656,41,1108.155832
-0.022564,21,1120.810022
-0.044015,56,1154.252214
0.074439,13,1161.923731
0.147143,55,1194.810615
0.128763,34,1215.475903
-0.052235,29,1232.773874
-0.471649,92,1317.515951
-0.101314,78,1364.027799
-0.288107,34,1388.396489
-0.399959,23,1402.261172
-0.2281,24,1416.517498
0.10144,96,1474.10228
0.10881,49,1503.288085
-0.027809,31,1521.844462
0.02927,11,1528.342952
-0.160818,47,1556.418928
0.035856,19,1567.9959
-0.104524,28,1584.660024
-0.008847,64,1623.241822
-0.527213,51,1653.588216
0.019722,19,1687.939195
-0.256052,47,1715.730216
-0.131825,18,1730.475611
0.018444,14,1738.847699
-0.063729,23,1752.889932
0.196308,39,1776.496594
-0.103754,16,1786.061056
0.032086,32,1805.207312
0.073933,41,1829.819883
0.175751,23,1843.598371
-0.171096,28,1860.486179
0.104023,32,1879.933369
0.072506,27,1896.063342
-0.08341,30,1914.093767
-0.031087,20,1925.829381
0.331868,39,1949.334731
-0.134655,17,1959.574245
-0.004818,19,1970.730045
0.05718,18,1981.55555
0.194117,22,1994.655766
-0.121659,19,2006.010514
0.073691,31,2024.300714
0.008365,26,2043.677397
0.074946,30,2061.547124
0.03096,15,2072.580323
-0.107745,24,2087.071653
-0.05554,30,2105.274563
-0.177811,24,2119.864521
0.03859,30,2137.997328
0.146591,24,2152.210376
-0.04526,27,2168.456172
-0.183527,28,2185.342106
-0.039182,14,2193.726761
0.045789,35,2214.708036
0.138707,27,2231.287068
-0.161372,29,2248.607697
0.054544,24,2262.845308
-0.422442,24,2277.184242
