#{"t_start": 1654173353.5450706, "env_id": "A1GymEnv-v0"}
r,l,t
-0.263795,21,15.695158
-1.906876,128,94.876622
-0.512729,85,145.765992
-0.808446,80,194.072426
0.122975,54,227.54312
-0.374937,70,269.464959
-0.356296,56,303.288982
-1.176917,93,364.411445
-0.396149,21,377.347696
-0.449833,92,485.161288
-0.340531,26,500.913629
-0.289232,28,517.567652
-0.23648,38,540.376163
-0.623734,71,582.833789
-0.635189,70,625.060398
-0.413333,199,748.517284
-0.209115,44,775.139734
-0.4438,21,787.644824
-0.324568,27,803.635
-0.166274,34,876.482296
-0.124758,22,889.456227
-0.089363,26,905.009226
-0.255292,55,937.692401
-0.324557,44,964.342207
-0.663983,69,1006.233304
-0.146844,38,1028.996511
0.031228,47,1060.732681
-0.399043,90,1114.210565
-0.339197,45,1141.099691
0.031923,22,1154.317269
-0.183919,16,1163.731681
-0.287295,42,1188.792955
-0.229904,21,1201.588843
-0.277128,77,1247.656377
-0.100848,31,1295.281881
0.147253,83,1345.66981
-0.02489,29,1362.871332
-0.233002,47,1395.154459
-0.152411,58,1429.816199
-0.171615,18,1440.713208
-0.251624,19,1451.995301
-0.426456,43,1477.764778
0.066561,34,1497.96222
-0.149473,22,1511.196091
-0.042037,71,1553.470464
-0.174567,19,1565.073449
-0.070977,27,1581.130754
-0.205395,14,1589.555995
0.039636,34,1609.815738
0.057808,18,1620.823802
-0.009121,29,1638.108105
-0.391416,32,1657.24807
-0.203661,21,1692.667341
-0.170077,20,1704.556925
0.2257,33,1728.11648
-0.224762,54,1760.973088
0.068876,25,1775.955819
-0.005736,23,1789.628896
0.018696,42,1814.851713
-0.055744,51,1845.403582
-0.027209,28,1862.373199
-0.066208,27,1878.785736
-0.335865,24,1893.137858
-0.086176,20,1905.161657
0.591524,47,1933.200636
0.043084,27,1949.372436
0.018202,30,1967.17656
0.095263,35,1988.188558
-0.007602,16,1997.662333
-0.572686,64,2039.545433
-0.016102,19,2050.915812
0.442516,90,2107.150918
0.086081,27,2123.521001
0.166264,21,2136.204239
-0.104332,16,2145.671187
-0.304465,32,2164.853324
-0.277452,58,2199.734684
-0.042589,36,2221.529257
-0.100423,36,2243.277609
-0.293068,62,2280.221869
0.062993,11,2286.880661
0.290082,29,2304.224323
-0.077967,32,2323.398998
0.043379,47,2355.446342
0.111819,62,2392.466872
-0.151986,26,2407.864734
-0.004479,15,2416.849016
-0.115943,18,2427.651276
0.094526,44,2455.538733
0.006826,51,2485.921987
-0.093064,16,2495.43016
0.080689,37,2517.658462
0.031132,17,2527.876652
0.037521,13,2535.69216
0.139993,18,2546.575901
0.012204,12,2553.766775
0.131138,33,2573.110316
0.083785,21,2585.752088
0.099645,36,2607.04385
-0.288791,61,2643.23664
0.03951,23,2661.138405
0.072263,34,2681.696157
0.071294,30,2699.495983
-0.062294,23,2713.29817
0.138577,40,2737.296435
0.082344,35,2758.070009
0.094225,21,2770.660352
0.052052,13,2778.43153
0.09893,49,2807.559886
0.091197,21,2820.240593
-0.003042,17,2831.93882
-0.094096,35,2852.759949
-0.035864,18,2863.424311
0.066526,36,2884.860801
0.081201,20,2896.763093
0.19186,65,2935.669431
0.049936,26,2951.172712
0.109,40,2979.164612
0.127784,26,2994.746359
0.261899,24,3008.884202
0.200388,22,3022.116331
-0.018928,33,3041.755876
0.180531,17,3051.919634
-0.06381,28,3068.694521
0.171782,46,3096.150162
-0.057159,16,3105.691968
-0.028624,21,3118.410704
0.013051,24,3132.77941
0.030391,18,3143.395731
0.139264,29,3160.897912
0.117091,29,3178.106158
-0.002578,18,3188.899794
0.082799,16,3198.889424
-0.057109,33,3221.11841
-0.079004,20,3233.185857
0.012699,30,3252.612543
0.309828,29,3270.669665
0.04203,18,3286.449265
0.17538,29,3304.681023
-0.093307,21,3317.761336
0.095872,19,3329.680292
-0.024464,19,3342.566472
-0.029488,21,3356.157505
0.037934,19,3369.820101
0.005161,26,3386.936085
0.223489,22,3400.339409
-0.096066,31,3419.559835
0.090212,22,3434.216694
0.027106,23,3448.420752
0.195405,32,3468.07089
0.087765,13,3476.058507
0.114354,28,3493.188553
-0.012401,15,3502.227952
-0.047858,31,3521.262444
0.011328,16,3531.140152
0.09576,23,3545.228333
0.054222,13,3553.277255
0.185182,27,3569.961397
0.15415,24,3584.887635
0.123694,17,3595.391911
-0.09944,51,3632.402374
0.204923,51,3663.424027
-0.018215,27,3680.281668
-0.11457,29,3697.94586
0.194965,36,3719.876296
0.178189,38,3743.165684
0.26366,39,3767.003797
0.130359,17,3777.425539
0.137552,60,3814.105001
0.05298,39,3837.846763
0.0722,23,3851.929709
0.099818,39,3875.765646
0.090103,31,3894.779215
0.075689,27,3911.162705
0.053278,33,3935.198627
0.12582,21,3948.58602
-0.006209,20,3961.094752
0.11956,15,3970.322477
0.265916,30,3989.715066
0.006888,18,4003.663498
0.090032,40,4028.288652
0.038981,24,4042.912509
0.348782,45,4070.584599
-0.003444,25,4085.758538
0.012294,21,4098.622263
0.099594,13,4106.635763
0.126404,20,4118.999915
0.149316,28,4136.066133
0.079642,37,4158.738132
0.009533,24,4173.361143
0.160468,24,4187.81902
0.15064,26,4203.659257
0.078409,13,4211.212611
0.12751,36,4232.6922
-0.008024,24,4251.089469
0.256471,25,4265.898058
0.079164,40,4289.52854
0.085868,20,4301.269904
0.08599,60,4336.845862
0.004966,43,4362.295527
0.275085,43,4389.589657
0.007548,27,4405.605335
0.119461,14,4413.881434
0.206956,20,4425.716304
0.240304,38,4448.004878
0.114607,21,4460.392952
-0.002521,19,4471.411224
0.184257,24,4486.15134
0.158945,19,4497.473386
0.167908,35,4518.422625
-0.008779,23,4532.160197
0.186239,38,4558.573016
0.20509,25,4573.502352
0.40491,63,4611.216963
0.014034,23,4624.985102
0.204717,23,4638.978735
0.030226,40,4662.930022
0.143049,44,4689.800641
0.050323,17,4700.343034
0.248072,41,4725.305468
0.136611,15,4734.393877
0.326744,42,4761.286288
0.019867,22,4774.729389
0.19014,19,4786.228909
0.054628,16,4795.945682
0.149292,24,4810.58982
-0.123131,23,4824.575922
0.191314,38,4847.776169
0.247054,48,4880.794013
0.082929,37,4903.299203
0.139859,41,4928.213647
0.145882,20,4940.350575
0.195324,22,4953.756616
0.395579,41,4978.915678
0.10879,37,5001.382047
0.244503,28,5018.475021
0.1711,28,5035.453057
0.405314,60,5071.561877
0.521944,76,5117.875557
0.359978,53,5151.325039
