#{"t_start": 1654173350.7027857, "env_id": "A1GymEnv-v0"}
r,l,t
-0.628787,37,28.206301
-0.410058,49,57.978318
-0.384852,38,81.719262
-0.710165,47,110.559584
-0.25311,34,130.688788
-0.702961,64,169.643552
-0.760533,46,197.378386
-0.340218,60,234.396091
-0.241653,81,283.071842
-0.30646,61,323.746057
-0.283988,29,341.242361
-0.424429,39,365.802983
-0.088742,19,377.575162
-0.712295,39,453.768129
-0.167387,16,463.281828
-0.782524,64,501.828609
-0.577492,110,567.460644
-0.47504,57,601.747735
-0.251735,19,613.225321
-0.853952,83,663.758521
-1.207199,129,744.61455
-0.846989,61,781.417688
-0.284281,26,796.788948
-0.213559,21,809.239627
-0.268545,63,899.300012
0.044737,70,940.951268
-0.188099,29,958.37837
0.045784,141,1043.412707
-0.076101,43,1072.806981
-0.004368,13,1080.522665
-0.089161,26,1095.921357
-0.243485,19,1107.310571
-0.240577,24,1121.694558
-0.14566,23,1135.353019
-0.051567,13,1143.12626
-0.07825,44,1169.352119
-0.087295,18,1180.087878
-0.250966,37,1202.385545
0.120442,37,1224.827209
-0.233151,41,1249.157276
-0.183305,126,1354.194846
-0.416015,50,1384.001069
0.201034,57,1422.290469
-0.207882,17,1432.471419
-0.328435,48,1461.276031
-0.05854,35,1482.132524
0.090953,52,1513.211215
0.032739,40,1537.04386
-0.180858,23,1550.705272
-0.307716,30,1568.909235
0.003742,20,1580.81967
-0.093849,13,1588.541469
-0.167186,51,1619.13134
-0.231959,31,1637.860202
-0.388045,31,1656.287412
-0.000546,29,1696.483426
-0.350977,38,1722.968294
0.061459,107,1787.541192
-0.001689,18,1798.244527
-0.015075,25,1813.294229
-0.191445,50,1843.357724
-0.029187,37,1865.623824
0.070242,13,1873.564643
-0.10378,15,1882.641606
-0.115364,15,1891.549843
-0.292119,44,1917.967918
-0.016464,23,1931.565162
-0.19912,41,1956.169361
0.151569,34,1976.495798
0.110098,27,1992.629656
0.08213,14,2000.957488
-0.150886,40,2024.541523
-0.185086,19,2039.787262
-0.065088,12,2047.014239
0.011267,16,2056.552951
0.036798,22,2071.728223
0.048233,17,2081.917727
-0.042233,25,2097.078076
-0.06217,15,2106.151719
