#{"t_start": 1654173349.2085938, "env_id": "A1GymEnv-v0"}
r,l,t
-0.161685,31,25.910339
-0.886998,103,89.826433
-0.226914,37,111.946664
-0.115119,41,136.504946
-0.106819,41,161.120214
-0.48177,44,187.873795
-0.236998,58,223.983862
-0.238048,41,248.125029
-0.07796,34,268.626205
-0.327339,35,289.872135
-0.383459,60,329.972187
-0.135692,50,360.847545
-0.255728,26,377.109693
-0.24001,37,452.111275
-0.548291,55,485.048111
-0.324474,18,495.986256
-0.229694,17,506.167815
-0.177876,23,519.84896
-0.331205,43,545.611724
-0.898789,76,591.22199
-0.056839,45,618.219026
-0.876847,218,753.174472
-0.183212,22,766.299928
-0.199499,96,876.343585
-0.756659,84,926.258068
-0.156621,34,946.496696
-0.577132,127,1023.491031
-0.153273,25,1038.400342
-0.553525,38,1064.778468
-0.047347,33,1084.297967
-0.199612,41,1108.696529
-0.11169,19,1120.094842
-0.32501,45,1146.987981
-0.074669,47,1175.007288
-0.02889,29,1192.251296
-0.386918,36,1214.173673
-0.048706,23,1228.014773
-0.489899,87,1309.185306
-0.2883,31,1328.458705
-0.185826,37,1350.301862
-0.18971,28,1366.895391
-0.264941,21,1379.380233
-0.095449,19,1394.874434
-0.14741,24,1409.331301
-0.125555,26,1424.907123
-0.237748,20,1436.864517
-0.061092,27,1453.020847
-0.200785,20,1464.993378
-0.365201,23,1478.804999
0.010984,27,1494.839938
-0.054764,53,1526.519819
-0.150938,24,1540.736801
0.0372,29,1558.126692
-0.102043,83,1608.003366
-0.056994,31,1626.722766
0.040665,34,1646.997633
-0.264712,34,1690.214202
0.107899,30,1707.981938
0.053193,22,1724.977733
-0.135351,24,1739.360976
0.054742,16,1748.873393
-0.042657,26,1765.002341
-0.21881,82,1814.053753
0.093335,20,1826.109314
-0.010297,57,1860.297812
-0.072198,18,1871.315224
0.05346,25,1886.39733
-0.437028,70,1928.14361
-0.066453,36,1949.805432
-0.030075,22,1963.055404
0.005908,26,1978.517689
-0.292069,26,1994.012947
0.346604,79,2044.785661
-0.066508,19,2056.187019
-0.32012,31,2076.718872
0.04362,25,2091.767448
