#{"t_start": 1654173352.6792512, "env_id": "A1GymEnv-v0"}
r,l,t
-1.107348,81,53.144021
-0.180373,50,84.786573
-0.176688,21,97.521026
-0.535957,66,136.987651
-0.910016,110,203.568926
-0.022544,20,216.575168
-0.100747,23,230.193936
-0.684463,46,257.619999
-0.347092,42,283.033091
-0.193685,41,307.675891
-0.502325,40,335.845623
-0.465405,63,375.078297
-0.285625,43,453.73124
-0.037086,30,471.627835
-0.416314,49,501.134079
-0.166949,17,511.243841
-0.265006,26,526.834906
-0.623099,46,554.395503
-0.673333,62,591.589993
-0.228369,33,611.39093
-0.344542,37,633.854603
-0.142184,41,658.933454
-0.065919,30,676.92333
-0.16295,17,691.113532
-1.085522,101,751.167251
-0.244338,33,771.043049
-0.493423,28,787.860973
-0.105506,30,805.648298
0.00362,24,819.662819
-0.216317,33,892.06982
-0.170228,25,906.983222
0.019177,48,935.560799
-0.403551,31,954.018846
-0.019332,17,964.531416
-0.227898,46,992.383482
-0.277232,43,1018.476935
-0.227287,35,1039.229753
0.16826,28,1059.790143
-0.018515,30,1077.480964
-0.211226,31,1095.838314
-0.387965,53,1127.617561
-0.000956,20,1139.476453
-0.319847,72,1182.455311
0.12967,60,1218.713999
0.004384,18,1229.588918
-0.125053,29,1246.687158
-0.242813,31,1294.228441
-0.026755,48,1324.01905
0.023903,20,1335.934191
-0.397136,47,1363.665242
-0.1045,22,1376.75876
-0.196605,32,1400.138621
0.015562,47,1428.195877
-0.122263,16,1437.867949
-0.065625,33,1457.644733
-0.27973,25,1472.505381
-0.067223,21,1485.085486
-0.216038,32,1504.136778
0.0432,28,1520.897822
0.045332,39,1544.038989
-0.066774,48,1572.972175
-0.277403,45,1599.921102
-0.381006,22,1613.082898
-0.081119,15,1622.266539
0.100581,15,1631.212179
-0.393469,32,1650.303483
-0.024834,54,1705.365638
0.027791,14,1713.632508
-0.266558,30,1735.515785
0.109105,15,1744.446038
-0.202091,37,1767.0948
-0.129772,31,1785.711974
0.16699,23,1799.395934
-0.215794,33,1819.31807
0.023574,27,1835.41907
0.006033,21,1848.05442
-0.228086,32,1867.473919
-0.175278,18,1878.391925
-0.06482,17,1888.518742
