#{"t_start": 1654173356.2445953, "env_id": "A1GymEnv-v0"}
r,l,t
-0.54402,33,20.626574
-0.208879,38,43.829046
-0.250273,32,62.874444
-0.427275,32,83.852882
-0.293632,28,100.567312
-0.50702,81,149.266022
-0.434387,31,168.130412
-0.415387,86,220.879658
-0.385261,19,232.084718
-0.074164,25,246.818057
-0.92265,59,282.690557
-0.352925,24,297.245022
-0.548809,26,316.752414
-0.327464,41,341.506279
-0.25649,65,382.295558
-0.300477,77,480.841248
-0.291106,79,528.338931
-0.247921,53,559.881647
-0.100985,16,569.419221
-0.255866,34,590.029016
-0.280377,21,602.57648
-0.495458,34,623.123904
-0.620259,68,664.592846
-0.291139,48,697.165114
-0.355774,30,715.058405
-0.165652,28,731.787813
-0.141807,32,750.809726
-0.508179,42,776.249469
-0.271592,30,794.053336
-0.288946,40,870.372162
-0.677252,96,927.43458
-0.694746,36,948.834819
-0.156606,45,976.508223
-0.336536,53,1008.58092
-0.103165,15,1017.526138
-0.910032,48,1050.006368
-0.309655,33,1069.367858
0.108839,50,1099.058651
0.04961,34,1119.565769
-0.041867,26,1134.927895
-0.002031,22,1148.147422
-0.288384,31,1166.6119
-0.071375,34,1186.889116
-0.212636,25,1202.215447
-0.332509,39,1225.651863
-0.501266,36,1246.898576
-0.166384,18,1286.319607
0.003762,28,1303.909513
-0.30926,79,1351.315641
-0.134523,62,1392.637904
-0.004872,36,1414.051731
0.001537,22,1427.292751
-0.018889,58,1462.003373
0.101238,37,1484.083622
-0.081797,16,1493.693652
0.073231,36,1515.182459
0.015279,19,1526.462566
-0.214313,33,1546.12666
-0.025419,35,1567.256828
-0.096018,24,1581.568374
-0.163796,29,1598.991648
0.113489,24,1613.345643
-0.167183,33,1633.228625
-0.289593,93,1711.49438
-0.037449,31,1733.993962
0.094512,45,1761.367469
-0.03978,56,1794.863621
-0.001589,26,1810.54593
-0.026933,78,1857.43699
-0.06171,33,1877.448575
-0.225117,21,1889.972597
-0.03831,16,1899.612749
-0.06876,34,1919.80417
-0.070512,19,1931.274365
-0.042003,50,1961.127093
-0.100722,50,1990.976601
-0.221972,41,2015.261692
0.226393,52,2050.171892
-0.073926,37,2074.338541
0.338216,25,2089.416471
-0.141713,28,2106.503125
0.138225,39,2130.041035
0.027684,26,2145.514466
0.178997,30,2163.527269
0.046936,23,2177.479423
-0.360108,46,2205.118074
-0.338893,74,2249.656636
-0.313572,26,2265.149379
0.021847,17,2275.310461
-0.029315,26,2290.924396
-0.098426,26,2306.539236
-0.094787,30,2324.398656
0.092096,18,2335.313707
0.19802,36,2360.758108
0.10905,39,2383.88333
0.02974,25,2398.929866
-0.204525,20,2410.702949
0.052043,39,2433.852441
-0.03399,22,2448.929383
-0.00826,33,2468.518333
0.199082,47,2496.473307
0.056451,13,2504.28031
0.062266,16,2513.899099
-0.047366,13,2521.735697
-0.032671,34,2542.176458
-0.030646,16,2551.865557
0.036957,16,2561.165324
-0.234162,57,2595.069993
0.035392,31,2613.43188
-0.1404,22,2626.490755
0.255405,28,2643.03905
-0.0773,24,2661.782985
-0.107308,25,2676.776417
0.057073,48,2705.417799
0.038139,18,2716.061143
-0.049524,26,2731.779562
-0.199079,35,2752.572386
-0.027369,19,2763.870609
0.195538,22,2777.09726
0.266107,28,2793.716069
-0.047512,16,2803.200753
0.109919,18,2814.120954
0.029657,20,2827.538898
-0.059628,26,2843.011317
-0.107556,30,2860.893655
0.286644,29,2878.096775
0.130141,21,2890.637153
-0.025613,31,2909.110534
-0.135082,25,2924.209899
-0.007498,23,2937.866825
0.180871,29,2955.187701
0.031998,21,2971.82073
0.098361,11,2978.347366
0.093471,18,2989.192425
0.443047,117,3058.894775
