#{"t_start": 1654173349.7504816, "env_id": "A1GymEnv-v0"}
r,l,t
-0.72497,67,47.501216
-0.296112,26,62.934865
-0.920402,118,135.355437
-0.245783,18,146.35648
-0.618199,92,201.85399
-0.558329,33,222.905008
-0.257471,26,238.150083
-0.660551,67,278.375033
0.036486,24,292.910763
-0.616303,50,327.019582
-0.370667,44,354.003988
-0.42653,24,369.18838
-0.317255,26,385.151614
-0.339752,35,458.849395
-0.550829,41,483.34936
-0.570697,95,540.291901
-0.623121,81,588.854381
-0.788423,99,649.03242
-0.215737,38,671.86013
-0.020862,31,694.447709
-0.381373,55,727.044221
-0.340376,67,767.127249
-0.039946,36,788.809711
-0.021127,14,797.09017
-0.198271,44,875.843879
-0.236205,26,891.267653
-0.124354,26,906.734687
-0.020456,25,921.607522
-0.265468,21,934.099182
0.251172,40,958.048614
-0.237152,51,988.989886
-0.13944,21,1001.829366
-1.270973,77,1051.825844
-0.091176,18,1062.543995
-0.093744,25,1077.234814
-0.474179,25,1092.136842
-0.218375,53,1123.780562
-0.093054,36,1145.250556
-0.333736,89,1198.415325
-0.150226,25,1213.674536
-0.163727,26,1229.315508
0.060658,23,1242.984516
-0.206288,34,1291.773264
-0.193041,64,1331.548944
-0.250749,28,1348.008636
-0.278518,53,1379.497773
-0.029146,21,1396.204349
-0.02524,21,1408.840481
0.015173,32,1427.952712
-0.049559,41,1452.52168
-0.235435,30,1470.458351
0.173147,51,1500.925218
-0.2185,50,1530.725052
-0.031571,27,1546.759109
-0.009838,28,1563.589229
-0.123924,47,1591.845231
-0.009916,13,1599.73318
0.041775,18,1610.452391
-0.197936,40,1634.531466
-0.143938,22,1647.718695
0.007182,26,1686.068214
-0.24653,22,1699.207626
-0.102218,24,1713.364323
-0.145523,26,1732.855092
-0.03181,14,1741.254362
-0.048741,15,1750.286934
-0.421959,32,1769.835001
-0.021624,37,1791.991494
-0.051044,20,1803.90112
-0.127792,27,1820.270491
0.116858,19,1831.634701
-0.037257,34,1852.022018
-0.161336,38,1875.083936
-0.10572,46,1902.696069
-0.222037,23,1916.510329
-0.01421,24,1930.675703
0.036873,19,1942.168777
-0.158778,33,1961.931491
0.10419,29,1979.209455
-0.018508,17,1989.266861
-0.112143,24,2003.664341
0.151394,48,2035.961419
0.257435,40,2059.781214
-0.201861,20,2073.786322
-0.007279,17,2084.037386
0.041836,20,2096.130452
-0.122638,38,2119.224343
-0.015362,37,2141.608801
0.015391,14,2149.823843
0.110454,18,2160.543324
0.028591,18,2171.446524
-0.261896,20,2183.549523
0.010805,20,2195.572079
0.03598,26,2211.196644
-0.089818,58,2246.195712
-0.143741,33,2265.808359
-0.019237,19,2277.234106
0.272933,57,2311.393686
0.020087,38,2334.121848
0.144775,19,2349.422568
0.002846,41,2373.951438
-0.001115,19,2385.226366
0.070311,16,2394.731066
-0.068703,27,2410.832804
-0.037345,26,2426.392782
0.041831,28,2442.951377
0.051195,19,2456.176862
0.073446,31,2474.606534
0.175066,79,2521.822083
0.05355,36,2543.404693
-0.128844,15,2552.524506
0.219968,35,2573.189453
0.078405,38,2595.919985
0.073761,24,2609.957432
0.24552,65,2648.556791
0.026278,22,2665.961516
-0.031459,9,2671.555568
0.318964,32,2690.543182
-0.052951,32,2709.637588
0.196572,41,2734.23617
-0.132562,16,2743.783974
-0.194599,31,2762.247886
-0.05995,16,2771.778744
0.038999,20,2783.778656
0.008134,20,2795.630656
-0.077034,24,2809.90611
0.059622,14,2818.359042
0.08012,19,2831.21622
-0.084972,31,2849.711057
-0.00095,18,2860.405946
0.008716,22,2873.600239
0.040734,18,2884.196136
0.28107,32,2903.216601
0.001527,13,2911.059964
0.106677,34,2931.49058
-0.03403,33,2951.114673
0.321244,38,2977.891814
0.059472,25,2992.856971
-0.321092,32,3011.888734
-0.000223,19,3023.229284
0.12696,28,3040.015916
-2.4e-05,12,3047.098336
0.010019,43,3072.859234
-0.003513,24,3087.145868
0.023633,43,3112.86077
-0.073963,20,3124.955027
0.194187,19,3136.317627
-0.009629,28,3153.102441
0.284074,26,3168.700965
0.144527,53,3200.338083
0.151995,17,3213.038296
0.150134,34,3233.649895
0.070226,14,3242.267984
0.199314,24,3257.948627
0.167321,20,3270.583709
0.049799,22,3288.738614
0.071377,28,3306.312707
0.21039,17,3316.983293
0.186337,17,3327.524447
0.008869,18,3339.287336
0.044268,22,3353.949177
-0.143689,48,3386.66814
-0.047181,20,3399.022967
0.178985,26,3414.803498
0.083205,13,3423.037408
0.196746,45,3451.949502
0.189648,33,3472.225595
0.055736,23,3486.285931
-0.100702,17,3496.718912
-0.141885,18,3507.578716
0.182412,16,3517.371612
0.069755,47,3546.343382
-0.050911,35,3567.897641
0.179134,19,3579.857362
0.122512,17,3590.261806
-0.042751,11,3597.033298
0.001869,32,3622.236469
0.035422,19,3634.012367
-0.021506,20,3646.078658
-0.046345,13,3654.080431
-0.027988,28,3671.416249
-0.150811,52,3703.332656
-0.002514,22,3716.662225
0.355892,48,3746.105897
0.13693,38,3769.332245
