#{"t_start": 1654173354.275059, "env_id": "A1GymEnv-v0"}
r,l,t
-0.252586,30,20.577666
-0.820929,60,56.935515
-0.285957,36,79.756934
-0.330995,39,103.600508
-0.245946,38,126.150757
-0.464146,38,149.291283
-0.690944,90,204.250805
-0.554077,50,234.519617
-0.501408,74,279.130303
-0.509191,55,312.407416
-0.905518,41,341.00867
-0.323782,33,361.848102
-0.415272,29,379.673048
-0.307112,81,480.8966
-0.373167,49,510.346928
-0.227743,25,525.34062
-0.160062,32,544.447639
-0.23338,18,555.196025
-0.303504,23,568.873077
-0.23848,33,588.859387
-0.292718,36,610.490385
-0.741481,45,637.98619
-0.454263,85,693.185292
-0.199452,63,730.558892
-0.356271,64,768.936262
-0.114788,20,781.027416
-0.325532,93,888.778645
-0.168297,83,938.19584
-0.199243,45,965.461189
-0.265539,44,992.077271
0.001552,34,1012.802322
-0.220181,27,1028.944093
-0.106204,27,1048.779604
0.014212,58,1083.180439
-0.144639,22,1096.157996
-0.235552,32,1115.389194
-0.101336,19,1126.71398
-0.185271,42,1151.827812
-0.018323,16,1161.278036
0.150983,18,1172.069212
0.220155,47,1200.261119
-0.163911,26,1216.014488
-0.247876,28,1232.74491
-0.880569,77,1308.10457
-0.107338,21,1321.297122
-0.174739,51,1351.406413
-0.266649,58,1390.154328
-0.191625,36,1411.753516
-0.084395,44,1438.200339
-0.040414,29,1455.489078
0.033683,24,1469.815108
0.301905,29,1487.125413
0.035469,16,1496.690154
0.077038,20,1508.675759
-0.066532,17,1518.802373
-0.200019,36,1540.096115
-0.040316,38,1563.185132
0.127655,48,1591.958318
-0.116591,33,1611.614905
-0.025957,35,1632.689171
0.030658,24,1647.016831
-0.045428,34,1690.232699
0.077463,24,1704.447328
0.104786,22,1721.418974
0.117726,86,1773.44151
-0.120942,35,1794.266764
0.083447,21,1806.964897
-0.092722,15,1816.052373
-0.054984,36,1837.552111
-0.367775,111,1904.483881
0.002729,25,1919.255009
-0.08733,30,1937.324717
-0.039383,14,1945.641688
0.038863,42,1970.69032
-0.075788,56,2004.182455
-0.001051,16,2013.650083
-0.010324,16,2023.072211
-0.197896,36,2048.457455
0.161188,36,2071.991225
-0.081605,33,2091.900156
-0.128806,29,2109.554095
-0.055361,28,2126.492635
-0.078311,38,2149.183551
-0.339125,23,2162.956981
-0.071283,21,2175.736293
0.158026,98,2234.871149
-0.145397,45,2261.620013
0.143778,12,2268.766699
0.046135,20,2280.752292
-0.018248,21,2293.369736
0.042596,21,2305.957115
-0.05466,18,2316.721738
-0.101629,21,2329.269684
-0.120276,47,2361.370394
-0.183576,32,2380.394776
0.236626,43,2406.006752
0.024202,32,2425.206689
0.133441,36,2448.412035
0.017777,10,2454.318877
0.004675,31,2472.70484
0.08229,19,2484.061184
0.072364,15,2492.923581
-0.191068,24,2507.340055
0.044687,38,2530.164188
-0.03568,33,2550.108275
-0.027987,27,2566.005337
0.243068,39,2589.323753
-0.021278,28,2605.734392
0.088119,34,2625.946699
-0.071857,29,2643.135714
-0.056255,44,2673.900062
0.016731,17,2683.946262
0.026907,54,2716.150287
-0.147672,39,2739.547961
0.072537,24,2753.820726
-0.008118,15,2762.687468
-0.207076,74,2806.882319
-0.093497,19,2818.355779
-0.063269,19,2831.274486
0.038453,20,2843.063542
-0.080323,20,2854.971936
0.184889,30,2872.961442
0.040009,11,2879.387433
0.042715,26,2894.880468
-0.038846,27,2910.953942
0.151853,15,2919.993401
-0.087394,23,2933.804221
0.031973,50,2967.702676
0.139029,23,2981.377157
-0.00518,35,3002.309118
-0.030674,36,3023.79533
-0.055753,27,3039.88392
0.047496,20,3051.846254
-0.187003,29,3069.220293
0.002938,11,3075.767958
0.207837,42,3100.855252
0.169494,21,3113.496087
0.10866,25,3128.496616
-0.151933,54,3160.846076
-0.053855,18,3171.554397
0.185453,26,3187.010198
-0.04389,42,3215.159817
-0.052612,20,3226.99607
-0.144143,32,3247.324891
0.009508,12,3255.01483
0.066553,10,3261.35463
0.248575,31,3285.137431
-0.064911,17,3295.76917
0.290491,41,3321.439472
0.139737,27,3339.114325
0.107468,20,3352.344665
0.227893,29,3372.779587
0.338604,57,3408.127232
0.008468,35,3430.960382
0.077668,26,3447.114642
-0.007916,29,3465.006636
-0.020753,24,3479.676498
-0.010761,19,3491.256495
0.132673,18,3502.138162
-0.036241,24,3516.780417
0.171596,28,3534.054408
0.229443,27,3550.769897
-0.016417,31,3569.928654
-0.061063,28,3587.281433
0.231544,26,3604.496642
0.289535,44,3635.940553
0.077042,16,3645.624464
0.16824,40,3670.32912
0.094124,39,3694.211182
0.165968,20,3706.405865
0.106508,24,3721.04864
0.057813,26,3736.994751
-0.028663,29,3754.805728
0.277794,34,3775.545961
0.02013,12,3782.958438
0.151589,32,3802.557174
0.1183,18,3813.432888
0.078576,14,3821.997141
0.185585,21,3834.670245
0.127206,15,3843.972026
0.041319,21,3856.847032
0.044417,17,3867.314276
0.074085,16,3876.870417
0.112561,19,3888.604664
0.239002,38,3911.703601
-0.004793,18,3922.595003
0.127613,18,3937.731019
0.014737,19,3949.844516
0.14096,23,3964.16764
0.082374,25,3979.407622
-0.097748,26,3999.348606
0.126332,23,4013.550385
-0.193052,20,4025.816287
0.014187,26,4041.614152
0.102277,16,4051.541664
0.026383,15,4060.823322
0.210624,30,4078.944988
-0.121582,16,4088.816007
0.194307,33,4109.031126
0.169061,32,4128.713926
0.079592,34,4149.474364
-0.025613,12,4156.806052
-0.006949,18,4167.856308
0.143685,35,4188.949902
0.134958,16,4198.780466
-0.014708,14,4207.025011
0.036149,39,4230.184498
0.351416,25,4249.235154
0.481973,116,4317.728853
0.024065,25,4332.606503
0.136881,25,4347.245539
0.256396,25,4362.17552
-0.008663,27,4380.071686
0.131072,22,4393.092334
0.197892,54,4425.04629
0.265778,34,4444.971331
0.153834,24,4459.107545
0.5594,49,4488.512938
0.024854,19,4499.755666
0.272875,29,4517.188657
0.07172,28,4533.846497
-0.048538,19,4545.147577
0.146371,29,4566.213801
0.031808,40,4590.151844
0.189122,34,4610.550797
-0.031357,21,4623.080547
0.198917,27,4639.48726
0.269263,42,4664.647345
0.384761,36,4686.629544
0.127326,15,4695.905192
-0.01555,26,4711.808943
0.041117,21,4724.630064
0.136887,36,4746.44316
0.367589,35,4769.214915
-0.014975,43,4795.274724
0.234649,41,4820.246211
0.139686,34,4840.916401
0.0023,30,4859.192796
0.153976,13,4867.110865
0.007214,20,4883.166947
0.121118,21,4895.874796
-0.017957,19,4907.505929
0.278936,32,4926.894954
0.169416,23,4940.898204
0.296913,35,4962.173123
0.009262,60,4998.85008
0.384039,28,5015.921805
0.127437,17,5026.252196
0.209693,38,5049.260711
0.137305,25,5064.35386
0.309705,49,5093.997111
0.340816,24,5108.640917
0.249049,27,5125.070215
0.110568,39,5150.002558
0.011317,35,5171.671505
0.092109,33,5196.149718
0.479602,41,5221.168025
0.471409,72,5264.831188
0.56345,56,5298.95872
0.128083,25,5314.130672
0.146098,26,5329.753414
0.506942,134,5412.144221
0.170748,30,5430.432741
0.305012,50,5460.649152
0.172408,28,5477.531601
0.249365,36,5499.349766
0.062233,20,5515.374545
0.313372,34,5537.858105
0.021074,27,5554.187765
0.099729,31,5572.973895
0.315141,34,5593.274709
0.199562,28,5610.627807
0.2161,33,5630.608931
0.439383,68,5673.396002
0.415915,67,5714.159087
0.076872,50,5744.580498
0.052498,26,5760.410464
0.228049,28,5777.207904
0.55414,85,5832.674037
0.198382,22,5846.006004
0.216717,44,5872.705826
0.317685,47,5901.158244
0.132315,13,5909.012212
0.529863,49,5941.860083
0.594897,98,6001.1632
0.263105,32,6020.326179
0.086755,80,6068.653519
0.073751,30,6086.779794
0.343138,56,6120.693725
0.548576,77,6171.209866
0.377179,68,6212.073849
0.424545,71,6254.876381
0.76275,79,6302.758469
0.07007,61,6344.18424
0.151329,32,6363.299443
0.176758,29,6380.658525
0.192494,27,6396.893237
2.883351,327,6597.181587
0.341638,60,6633.014267
1.305832,190,6756.326956
0.659892,127,6837.708997
1.287156,161,6936.398609
2.748737,247,7091.929088
1.05206,92,7150.595795
0.260019,22,7163.670625
0.436916,53,7196.067518
0.190166,45,7222.885062
0.989607,141,7307.01452
2.082372,155,7402.728489
0.69281,92,7470.59588
2.775817,335,7712.207182
7.522372,701,8181.81485
1.517998,163,8278.619055
3.340376,401,8567.984313
8.097869,867,9138.294753
8.004447,1000,9852.592139
8.316791,1000,10564.573757
9.439314,1000,11217.923197
8.618273,1000,11926.168429
10.862778,1000,12579.007035
14.50681,1000,13282.584831
2.749111,251,13434.746103
12.148858,1000,14137.560047
3.462327,299,14366.237571
11.720774,1000,15022.533624
12.007204,1000,15726.999697
1.92551,130,15804.350403
5.557637,493,16151.943854
10.841231,1000,16804.339103
14.16133,1000,17508.460829
13.845586,910,18107.345341
17.930563,1000,18811.103006
12.497443,1000,19511.91704
14.873673,1000,20162.034552
19.779793,1000,20866.507516
14.796929,1000,21518.794698
17.066584,1000,22227.822383
17.173878,1000,22940.876665
17.627478,1000,23594.08628
2.363521,166,23693.025546
17.870851,1000,24397.067905
14.639083,1000,25098.658588
15.329294,1000,25742.359676
17.093326,835,26347.14179
18.987407,1000,27002.782285
16.863933,1000,27716.757724
20.859872,1000,28375.96761
17.862272,1000,29079.658789
17.822527,1000,29780.734387
19.694293,1000,30423.839011
17.310019,1000,31121.225345
16.319691,1000,31767.627364
19.146994,1000,32464.305533
19.76032,1000,33163.467453
17.274864,1000,33809.032447
15.738936,1000,34504.788934
21.361236,1000,35149.0575
19.993035,1000,35843.82407
18.740405,1000,36540.998678
18.513722,1000,37184.935312
19.929922,1000,37879.793783
18.174454,1000,38524.734838
19.247114,1000,39219.994409
20.577435,1000,39915.390989
21.909676,1000,40557.241667
19.62148,1000,41252.860086
21.196364,1000,41896.380138
