#{"t_start": 1654173347.9569187, "env_id": "A1GymEnv-v0"}
r,l,t
0.098382,20,20.296003
-0.513973,47,49.173542
-0.621883,25,64.023038
-0.980236,57,100.0879
-0.392888,51,130.285073
-0.325646,21,143.12867
-0.339152,16,152.78009
-0.371853,44,179.402315
-0.204314,22,192.666487
-0.199199,25,207.919143
-0.391368,43,234.577104
-0.227983,32,253.38902
-0.624611,45,280.650686
-0.06145,14,289.244988
-0.229078,16,298.837162
-0.639774,82,352.393402
-0.377323,34,374.002738
-1.405439,88,479.643581
-0.454181,32,499.007506
-0.480763,52,529.945243
-0.135481,14,538.441329
-0.368581,32,557.576926
-0.633573,33,577.150484
-0.114635,20,589.259468
-0.134009,79,636.973115
-0.229199,59,672.948207
-0.524557,54,709.149511
-0.649989,103,770.62765
-0.108499,28,787.531849
-0.237157,52,818.240036
-0.294377,54,903.019796
0.108607,52,934.025485
-0.187323,27,950.009169
-0.780278,84,1001.044882
-0.272029,21,1013.922813
-0.371045,96,1074.80178
-0.126903,19,1086.089854
-0.484959,60,1121.908821
-0.121475,24,1136.136377
-0.046393,34,1156.508442
-0.143706,72,1199.452855
-0.074169,42,1224.893844
0.138964,53,1285.134728
-0.166105,13,1292.818538
-0.365035,36,1315.227341
-0.053074,21,1328.415464
-0.232997,64,1366.222748
-0.154972,62,1407.544168
-0.139783,16,1417.037244
0.000873,23,1430.805515
-0.071856,15,1439.849724
-0.446655,22,1453.006996
-0.281457,56,1486.548219
0.047381,23,1500.210398
0.05461,38,1522.93054
0.103563,38,1545.397428
-0.153311,37,1567.858182
-0.312601,45,1594.743846
-0.075756,21,1607.345535
-0.019724,30,1625.362872
-0.105375,45,1652.332575
-0.08579,36,1696.732835
-0.580292,87,1752.616345
-0.065736,24,1767.408382
0.217892,81,1815.838676
-0.015112,10,1821.939377
0.008019,21,1834.471571
-0.232843,50,1864.512417
-0.003089,14,1873.092247
0.067784,49,1902.55124
-0.028615,20,1914.570782
0.106798,29,1931.692362
-0.130831,30,1949.769979
0.030384,42,1974.797058
0.076088,19,1986.21218
0.044968,16,1995.789567
-0.044994,18,2006.521483
0.18292,50,2039.99778
-0.122066,35,2060.843552
0.077614,26,2078.498973
-0.267309,14,2086.939559
0.068643,20,2098.988029
-0.332215,33,2119.075476
-0.216744,57,2153.250644
-0.012893,23,2167.057069
-0.049208,60,2203.183181
-0.118064,19,2214.656282
0.346289,50,2244.910436
-0.021165,13,2252.631758
-0.007353,21,2265.144911
0.079284,17,2275.266176
0.017322,30,2293.318828
0.103339,30,2311.219084
0.024354,16,2320.862757
0.000754,26,2336.426566
0.154107,32,2359.491663
0.190006,43,2385.14857
-0.083968,32,2404.236351
-0.075775,21,2416.66339
-0.082803,25,2431.712421
-0.036236,26,2447.00313
0.01181,22,2461.932261
0.422439,45,2488.737704
0.179467,33,2508.433993
-0.035837,36,2530.10399
-0.074546,27,2546.29884
0.00858,21,2558.977091
0.221079,45,2585.589959
-0.095345,27,2601.612356
-0.072929,46,2628.902179
0.067227,20,2640.755538
0.000853,37,2666.981494
-0.091483,25,2682.224176
-0.043563,22,2695.228332
-0.074048,17,2705.34455
0.070051,44,2731.750412
0.431383,36,2753.212341
0.067652,14,2761.50114
0.109792,23,2775.287213
-0.018584,13,2783.035779
-0.054916,15,2791.960655
0.181133,46,2819.446037
0.052161,21,2833.501272
-0.004962,16,2843.009783
0.070373,22,2856.143564
0.007175,21,2868.633775
0.163552,56,2901.965509
0.083783,50,2931.938915
0.213473,20,2943.849192
-0.009349,18,2954.622505
-0.23477,42,2983.771683
-0.199888,42,3008.790782
-0.440878,40,3032.676722
-0.023234,16,3042.278287
0.16209,37,3064.236016
0.060166,23,3078.087465
0.132428,46,3105.607836
0.195211,29,3123.021914
0.059418,23,3136.797791
0.049263,25,3151.661696
-0.02657,43,3177.467965
0.245968,25,3192.252833
0.061902,23,3206.649227
0.235212,25,3223.990446
-0.049734,24,3238.400417
0.045521,14,3247.109972
0.021061,26,3264.046742
-0.030691,20,3276.505392
0.16553,25,3296.629611
0.131954,20,3309.252949
0.082572,11,3316.101813
-0.007752,22,3329.862544
-0.002177,15,3339.54527
0.02669,21,3353.790309
-0.021236,25,3370.658478
0.146768,16,3381.907014
0.128643,25,3397.690365
0.008037,34,3418.264541
0.277896,29,3437.485027
0.170402,17,3448.086863
0.029956,11,3454.884266
0.042421,24,3469.616443
0.038716,35,3491.033518
0.100586,24,3505.69945
0.237501,32,3525.178528
0.21512,31,3544.199895
0.024055,19,3555.974479
-0.148121,32,3575.796362
0.198886,35,3597.471018
-0.020789,22,3616.617401
0.147269,15,3625.746051
-0.017625,15,3635.060514
0.129805,33,3655.119404
0.065984,28,3672.423665
0.241998,17,3683.001655
0.095415,43,3709.271014
0.038718,11,3715.94509
0.131298,35,3737.446128
0.077993,27,3753.915334
0.143553,16,3763.69467
-0.076057,53,3796.196362
0.168046,51,3827.293844
0.107291,35,3848.618039
0.166688,17,3859.010912
0.250657,29,3876.771345
0.15215,30,3895.115692
-0.002617,19,3906.629881
0.145539,20,3918.818677
0.042967,22,3936.125085
0.345565,66,3977.380068
0.052047,38,4004.589706
0.215102,51,4035.949077
-0.047936,25,4051.264357
-0.017196,19,4062.999023
0.273039,33,4083.007337
0.14836,39,4106.974443
-0.054373,30,4125.43397
0.170825,24,4140.044997
0.106337,30,4158.446577
0.137673,30,4176.769418
0.368108,45,4204.084733
0.025312,17,4214.097248
0.200932,28,4230.733636
-0.076826,24,4245.034094
0.123826,26,4264.63656
-0.210465,30,4282.338949
0.009621,17,4292.423393
0.229829,29,4309.342268
0.323355,70,4350.854679
0.105494,23,4364.531247
-0.056862,25,4379.226453
0.244848,27,4397.188218
0.214573,54,4429.164135
0.192571,25,4443.850407
-0.394519,39,4466.767443
0.153747,38,4489.509079
0.257494,38,4512.480653
-0.024085,24,4526.609185
-0.101696,41,4551.039205
0.363786,59,4590.170115
0.019402,51,4620.699632
-0.02808,23,4634.409669
0.188769,37,4656.851366
0.239325,36,4678.453204
-0.190893,32,4698.098325
0.013126,13,4706.180074
0.227826,27,4722.643336
0.306992,36,4744.492589
-0.009278,20,4756.688544
0.02055,20,4770.173839
0.143345,48,4799.35763
0.374764,39,4823.101787
-0.014432,24,4837.643095
0.06831,16,4847.426418
0.087359,21,4860.263576
0.065285,15,4869.34358
0.283344,44,4899.912945
0.132311,13,4907.857176
-0.069877,30,4926.077735
-0.072796,68,4967.422202
0.063161,28,4984.750772
0.289,30,5002.911442
-0.017541,30,5021.209718
-0.061,31,5040.010568
0.20425,18,5050.932628
0.291653,34,5071.459448
0.226609,21,5084.074074
0.323772,40,5108.344788
0.297178,44,5135.343062
0.110947,40,5160.77519
0.307735,54,5198.456909
0.133259,26,5214.243082
0.368327,60,5250.953351
0.218957,30,5268.990245
0.200393,35,5290.318296
0.096801,28,5307.307988
0.340165,44,5333.849752
0.210244,49,5364.146197
0.443415,38,5387.064563
0.146585,21,5400.156966
0.136334,26,5416.214295
0.078607,39,5439.909132
0.103042,30,5457.941224
0.266689,42,5483.421351
0.14376,40,5511.640493
0.145869,30,5529.516801
0.03064,12,5536.602524
0.358182,42,5564.239377
0.163701,36,5586.102108
0.363475,38,5609.161727
0.082952,34,5629.823044
0.241609,30,5647.94376
0.823663,79,5697.714249
0.376301,68,5738.884827
0.240146,67,5779.537232
0.463594,67,5819.830951
0.222406,46,5851.873078
0.22243,34,5872.495698
0.164345,25,5887.668569
0.512276,75,5936.364861
0.315961,45,5963.348757
0.253172,37,5985.879559
0.078036,39,6009.479951
1.141829,139,6093.288825
0.58755,103,6159.527245
0.363022,40,6183.63651
0.233975,36,6205.286715
0.129574,25,6220.377362
0.494985,64,6258.932564
0.226989,35,6280.05905
0.359748,33,6300.040346
0.504009,53,6336.832842
0.281072,57,6371.009295
0.195339,47,6399.199978
0.293054,38,6422.009779
0.572642,66,6465.532289
1.234042,120,6537.153841
0.148186,43,6563.149233
0.179887,27,6579.450226
0.081387,36,6601.260009
0.154602,43,6626.939268
0.513095,60,6662.845686
0.29903,28,6679.641211
0.482421,51,6719.854822
0.133775,25,6734.815863
0.504406,57,6768.941683
0.229854,38,6795.830488
3.523827,313,6986.010381
4.158109,378,7224.728551
2.843212,360,7453.334315
4.091027,337,7697.669593
1.032375,176,7809.819223
0.956203,143,7896.599144
0.268865,50,7963.953177
6.566793,764,8469.577414
10.596283,1000,9125.389007
10.290165,1000,9839.606151
6.534346,405,10142.822997
13.267407,1000,10795.845341
13.603742,1000,11503.339664
7.1859,695,11972.266161
2.334312,129,12052.749949
9.70281,1000,12758.845127
