#{"t_start": 1654173351.9520366, "env_id": "A1GymEnv-v0"}
r,l,t
-0.076478,14,13.026488
-0.491997,35,34.357378
-0.778219,72,78.640009
-0.447294,82,128.334894
-0.288457,18,139.41688
-0.055558,61,176.30239
-0.490459,51,207.857244
-0.079334,38,230.866963
-0.448297,51,261.250824
-0.815456,114,334.103919
-0.84488,77,381.836724
-0.104561,42,459.762033
-0.1052,52,490.956412
-0.26735,62,528.094847
-0.405543,35,549.027256
-0.191798,17,559.201931
-0.239934,31,577.713553
-0.219441,47,606.013139
-0.555571,27,622.226367
-0.202503,51,653.579229
-0.308436,22,666.780166
-0.281908,27,686.924644
-0.372399,45,713.759085
-0.257532,32,732.72446
-0.050538,21,745.257996
-0.421047,90,799.266068
-0.237067,59,886.766917
0.049318,22,899.914603
-0.235997,28,916.58672
-0.189966,56,949.822648
-0.274534,55,983.507571
-0.513563,28,1000.38118
-0.050243,43,1026.256365
-0.806344,42,1055.198721
-0.019854,40,1078.751915
-0.13978,45,1105.506145
-0.325904,30,1123.577169
-0.046785,36,1145.040642
-0.150788,28,1161.653155
-0.24234,32,1180.735266
0.054638,32,1199.967099
-0.112938,20,1212.284832
-0.01504,56,1245.613971
-0.206635,38,1297.413594
-0.160778,23,1311.521067
-0.132772,49,1341.297172
-0.346878,37,1363.1345
-0.178438,15,1372.06844
-0.215131,14,1380.413162
-0.148211,19,1396.028572
-0.320594,72,1439.151813
-0.492815,21,1451.706683
0.083515,21,1464.238505
-0.036877,23,1478.03111
-0.010903,46,1505.399223
-0.066716,41,1529.891906
-0.078697,24,1544.057297
-0.060486,29,1561.540572
0.069842,41,1586.183205
-0.039044,46,1613.75999
-0.255329,35,1634.872708
-0.141382,25,1649.795035
-0.209311,40,1696.534064
-0.163857,38,1723.020879
0.189466,24,1737.363744
-0.064945,34,1758.28404
-0.208426,34,1778.672361
0.003055,18,1789.332932
-0.112692,27,1805.499414
-0.192565,52,1836.751806
-0.126788,23,1850.593306
-0.102863,36,1872.405993
0.196489,20,1884.45896
-0.021203,34,1904.843294
0.093879,21,1917.403089
-0.151021,22,1930.411618
0.016568,46,1958.001762
-0.041685,30,1975.961894
-0.221816,20,1987.817348
-0.021835,20,1999.801102
-0.870575,103,2066.927032
-0.00536,12,2074.166857
-0.131102,23,2087.996295
-0.0885,21,2100.773324
-0.020777,19,2112.311053
-0.108144,13,2120.192721
0.198681,27,2136.454812
0.15768,48,2165.124348
0.105607,23,2179.131575
-0.013893,22,2192.31391
-0.082057,44,2218.746029
0.016847,18,2229.834029
-0.005133,24,2244.176376
-0.149425,22,2257.258709
0.067341,21,2269.77884
0.127649,32,2288.999004
-0.021574,20,2300.903862
-0.130588,49,2330.235538
-0.162587,27,2350.34584
-0.101788,20,2362.395926
0.208274,19,2373.699026
-0.070513,27,2389.66425
0.156631,45,2416.540499
0.12583,58,2452.976383
0.254099,26,2468.352108
-0.044096,22,2481.440248
-0.0415,13,2489.228533
-0.01502,35,2510.117156
-0.002854,23,2523.948701
0.062208,35,2544.916632
0.066133,21,2557.666471
-0.313253,22,2570.523925
-0.027011,14,2578.878456
-0.098388,19,2590.308737
0.01069,67,2629.872694
0.113309,17,2639.978489
0.08507,18,2650.673164
0.177398,40,2679.070715
-0.145503,13,2686.687951
-0.123443,62,2723.768961
0.078886,21,2736.41289
0.082994,33,2756.004551
0.064827,24,2770.356817
0.014288,12,2777.456675
0.036965,19,2788.831807
0.042023,21,2801.120914
0.231392,35,2822.337802
0.06121,18,2834.622907
0.045734,12,2841.677758
0.037821,26,2857.135543
0.214587,38,2879.797555
0.36095,42,2904.737807
0.090623,33,2924.592887
-0.07278,15,2933.635959
-0.051634,15,2942.500462
0.122555,29,2959.831871
0.00258,24,2978.2255
0.072318,26,2993.838492
-0.006161,13,3001.527773
0.046142,47,3029.574057
-0.128212,34,3049.832852
-0.016019,29,3067.18112
0.259251,41,3091.666922
0.280104,59,3127.08411
0.102281,14,3135.442258
0.237702,47,3163.615993
0.060829,32,3182.65267
-0.100376,20,3194.528652
0.210125,28,3214.179949
0.103184,43,3240.249177
0.061866,9,3246.175013
0.096056,14,3255.301886
0.16768,28,3272.803521
0.066111,12,3284.824831
0.121336,23,3299.198966
0.245458,41,3324.858793
0.261355,49,3357.034268
-0.005149,21,3372.044629
0.136692,18,3383.959614
0.01152,23,3398.251822
-0.035228,14,3406.726711
0.062627,25,3422.343857
0.038103,37,3446.219743
0.198835,20,3458.499296
0.041371,25,3473.864442
0.128316,19,3485.407163
0.212802,36,3507.288563
-0.007807,25,3522.734436
0.022676,33,3543.042015
0.101195,27,3559.68141
-0.073641,36,3582.141659
-0.181366,19,3593.761606
0.095301,27,3615.882758
0.090185,24,3630.72902
0.090218,16,3640.468562
-0.050633,30,3658.842283
0.238997,22,3672.490783
0.239043,22,3686.13002
0.103491,29,3703.749267
-0.117339,22,3717.008555
0.231239,36,3739.151858
0.191436,64,3778.316076
0.072601,22,3791.796526
0.084225,34,3812.514281
-0.02042,15,3821.706958
0.097262,20,3833.801099
0.05004,28,3850.925975
-0.02532,30,3869.487995
-0.173393,39,3893.182055
0.130612,48,3922.344222
-0.026497,55,3960.818052
0.185287,23,3974.854084
0.151213,22,3988.952139
0.123991,21,4005.129469
0.186824,20,4017.531135
0.367501,50,4048.18995
0.060374,24,4062.969137
0.044878,26,4078.674218
0.146464,12,4086.02351
0.245213,33,4106.285878
0.209728,70,4149.181289
0.249676,37,4171.809588
-0.001318,13,4179.66417
0.041757,44,4206.348056
0.306267,45,4233.004586
0.000322,28,4253.7803
0.052424,19,4265.037159
0.364119,41,4289.285811
0.272841,84,4338.945032
0.187498,29,4356.003917
0.040265,19,4367.246572
0.225343,92,4423.629584
0.175312,28,4440.15726
0.088619,22,4452.983143
0.158912,58,4487.636252
0.077175,19,4498.946337
0.067863,22,4512.282755
-0.01823,20,4524.083804
0.073942,20,4536.026794
0.007466,25,4550.857506
-0.014709,27,4570.810234
0.212901,31,4589.371313
0.005388,16,4598.890591
0.195174,37,4621.164737
0.441989,53,4653.121028
0.169328,20,4665.056502
0.594498,51,4696.308325
-0.005871,10,4702.462392
0.17595,23,4716.469342
0.189051,29,4734.045344
0.113799,26,4749.895194
0.11796,25,4766.444764
0.058082,28,4783.407337
-0.197376,19,4795.015967
0.251257,25,4810.277578
0.099583,32,4829.666299
0.208482,25,4844.927122
0.32736,31,4863.784353
0.186014,31,4886.521015
0.197078,33,4906.665384
0.262151,36,4928.488877
0.252697,32,4948.009253
0.033577,25,4963.095073
0.085359,14,4971.79754
0.141575,33,4991.963414
0.304187,43,5018.077504
0.263266,24,5032.653065
0.241947,68,5073.658475
0.107322,23,5087.605186
0.030674,28,5104.625472
0.044487,12,5112.01095
0.203194,31,5130.992251
0.143513,28,5149.199769
0.119947,14,5157.696511
0.218375,22,5171.218364
0.122889,23,5185.856726
0.259246,35,5211.162938
0.328785,55,5244.801529
0.110989,23,5258.722472
0.127448,45,5285.97162
0.210215,45,5313.325326
0.18225,40,5337.335118
-0.002879,26,5353.638052
0.260324,40,5377.872672
0.348559,47,5406.936351
0.185113,27,5423.519834
0.955021,121,5496.591143
0.136825,33,5520.436289
0.919493,91,5577.571029
-0.028319,38,5600.312332
0.14426,21,5613.403687
0.24218,60,5650.235015
0.625287,54,5684.19068
0.188609,37,5706.615402
0.122901,17,5716.939137
0.247557,31,5735.775465
0.272815,52,5767.397514
0.085784,24,5781.76728
0.246722,46,5809.465907
0.298975,33,5833.655826
0.433728,53,5865.764824
0.166406,31,5884.504561
0.274702,29,5902.067942
0.67396,73,5949.502959
0.099331,27,5965.713104
0.630722,71,6008.768528
0.029413,23,6022.484164
0.01033,19,6033.862168
0.266768,25,6048.952938
0.274233,37,6071.432408
0.134783,25,6086.547988
0.238712,37,6109.00789
0.252112,48,6137.990056
0.877563,117,6212.442654
0.189056,35,6233.594969
0.019301,43,6259.462571
0.491966,53,6291.444658
0.273209,46,6323.971123
0.431088,60,6360.081192
0.244624,40,6384.071344
0.651924,78,6430.930051
0.70201,82,6483.873007
0.550484,111,6550.289994
0.230826,30,6568.527617
0.831019,102,6629.799297
0.448247,45,6656.705073
0.190841,24,6671.127341
1.934726,203,6806.496224
