#{"t_start": 1654173352.2419574, "env_id": "A1GymEnv-v0"}
r,l,t
-0.246578,28,21.172191
-0.541355,25,36.599449
-0.593829,86,89.982222
-0.20995,17,100.257387
-0.582937,51,130.533784
-0.161995,57,165.043756
-0.175021,27,181.427842
-0.526574,97,240.678326
-0.416513,55,273.589809
-0.661797,86,329.587599
-0.278662,18,340.414153
-0.129771,21,353.524841
-0.488976,26,369.991383
-0.199945,24,384.793705
-0.119188,51,467.868196
-0.268239,20,479.816012
-0.429759,40,503.949048
-0.171449,16,513.453748
-0.262213,25,528.432453
-1.017741,126,603.925698
-0.420668,46,631.788319
-0.288869,25,647.269202
-0.185052,23,661.15808
-0.64657,38,687.910239
0.08313,45,714.682325
0.219381,69,755.799141
-0.100922,14,764.155191
-0.548651,31,782.927661
-0.316533,34,803.056762
-0.143869,65,894.291299
0.084137,44,920.406291
-1.143492,75,965.555579
-0.5243,42,990.956989
0.003195,26,1006.86649
-0.468019,66,1050.084672
-0.347018,77,1095.645923
-0.038582,38,1118.516455
-0.425441,48,1147.164276
0.122036,34,1167.320012
-0.170376,45,1194.250192
-0.149482,20,1206.59681
-0.160131,27,1222.800687
-0.173731,43,1248.26942
-0.185009,35,1298.41102
-0.089099,34,1319.379859
-0.279019,24,1333.8944
0.202232,41,1358.083827
-0.185344,55,1395.137235
-0.161314,22,1408.30391
-0.153135,35,1429.236311
-0.081344,23,1443.092685
-0.245884,54,1475.362244
-0.113323,19,1486.669373
-0.261077,37,1508.770756
-0.209909,20,1520.691789
-0.118333,29,1537.918722
-0.057612,15,1546.826062
-0.1734,42,1572.208085
-0.015094,28,1588.905936
-0.089549,65,1628.061606
-0.064253,25,1642.945861
0.026511,26,1658.448374
-0.103578,15,1690.310585
0.087004,44,1716.384687
-0.621118,115,1789.692959
0.039874,25,1804.622706
0.017289,23,1818.551055
-0.0905,22,1831.719014
-0.026242,22,1844.850526
0.088234,29,1862.386519
-0.310644,24,1876.949615
-0.174841,22,1890.127774
-0.531656,77,1936.217479
-0.508436,37,1958.332411
0.078599,50,1988.138266
-0.161774,46,2015.544573
-0.202899,27,2035.387534
-0.241726,29,2052.743714
0.093815,33,2074.497427
0.029838,35,2095.648191
0.108844,24,2110.23308
-0.180966,39,2133.799122
0.205717,70,2175.746871
-0.228989,32,2194.992614
-0.041504,37,2217.233267
-0.079132,37,2239.711491
0.107933,39,2262.891534
-0.224198,26,2278.464292
-0.034315,29,2295.867021
-0.029007,31,2314.491481
0.006385,45,2341.457439
0.085068,65,2384.11685
-0.024567,17,2394.287423
-0.204757,16,2403.868991
0.078918,19,2415.054257
0.028756,19,2426.485105
-0.036079,26,2441.815888
-0.100185,75,2488.327769
0.041097,33,2508.05747
-0.128139,28,2524.906217
0.045828,17,2535.040615
-0.09363,21,2547.775296
-0.159879,17,2558.005798
-0.146071,38,2580.407667
0.025696,26,2595.896467
-0.075759,21,2608.237923
0.126849,18,2619.004066
0.047828,30,2636.750563
0.007175,17,2646.804123
-0.013991,16,2660.453311
0.110404,15,2669.819377
-0.096232,23,2683.515393
-0.116825,33,2703.144412
0.118075,37,2725.331016
0.064053,17,2735.537549
-1.072171,51,2765.779155
0.13081,60,2801.450753
0.000927,21,2814.221463
0.097675,25,2830.70347
0.075081,18,2841.413674
-0.216336,59,2876.607974
0.078653,18,2887.275693
-0.049497,29,2904.476385
0.049041,15,2913.457621
0.156819,26,2929.177238
-0.33331,24,2943.399918
-0.095531,28,2960.171519
0.146171,25,2979.171219
0.05256,16,2988.696994
0.10523,34,3008.943288
-0.230084,43,3034.705968
-0.050516,29,3051.905599
0.014325,13,3059.622285
-0.165349,30,3077.672435
-0.09686,18,3088.415828
-0.094831,15,3097.347113
-0.039112,29,3114.735129
0.076911,65,3153.70701
0.166299,19,3165.130547
0.112353,25,3179.947272
0.137501,37,3202.677621
0.160645,30,3222.96014
