#{"t_start": 1654173349.616031, "env_id": "A1GymEnv-v0"}
r,l,t
-0.594189,61,44.04054
-0.365445,43,69.667961
-0.354651,28,88.247293
-1.457849,160,184.484088
-0.283646,51,216.436535
-0.138541,22,229.467939
-0.245192,22,242.476173
-0.131057,94,299.079258
-0.256432,40,327.131401
-0.364267,31,345.971151
-0.155284,18,357.214317
-0.220669,28,374.868955
-0.229692,48,456.567304
-0.753682,71,499.277997
-0.103717,35,520.036898
-0.420954,24,534.538035
-0.090081,17,544.635863
-0.266672,28,561.370838
-0.658035,39,584.709759
-0.174913,26,600.345723
-0.28407,27,616.636051
-0.360143,24,631.168823
-0.541412,42,656.988132
-0.064578,25,671.976041
-0.645312,90,729.5586
-0.265956,26,745.002535
-0.230954,59,780.625065
-0.492091,32,799.645498
-0.673899,41,876.576039
-0.179856,16,885.981824
-0.664315,60,921.722106
-0.111109,36,943.153844
-0.520561,65,982.682423
-0.029694,15,991.583034
-0.700028,48,1020.73209
-0.144216,34,1040.92118
-0.491342,73,1088.154378
-0.225647,48,1116.692255
-0.174895,23,1130.482973
-0.098556,17,1140.527664
0.032425,16,1150.221193
-0.015814,25,1165.048552
-0.130244,29,1182.296231
-0.099178,23,1196.04468
-0.062186,44,1222.751444
-0.112231,46,1250.145329
-0.037791,29,1296.385803
-0.379473,37,1319.336965
-0.094035,40,1343.492236
-0.593648,51,1373.624368
-0.326878,36,1399.440518
-0.203479,37,1421.468791
-0.09351,32,1440.705054
0.023238,32,1459.83553
-0.286385,39,1483.128922
0.257225,48,1511.839985
-0.243901,33,1531.454569
0.064325,32,1550.49003
0.113944,42,1575.838172
-0.058646,34,1596.281061
-0.122328,79,1643.597613
-0.078835,21,1656.087778
-0.228032,58,1713.478662
-0.096906,79,1765.259571
0.052266,40,1789.170393
-0.166171,20,1801.02217
0.007735,30,1819.130047
0.090266,22,1832.338233
-0.017553,31,1850.891923
-0.240064,30,1869.067793
-0.228103,32,1888.428083
-0.177263,23,1902.217246
-0.276111,60,1938.089981
0.245782,29,1955.398562
-0.076538,58,1989.980713
-0.224337,53,2021.460546
0.318288,57,2059.307843
-0.389821,31,2079.930539
-0.020301,19,2091.395373
-0.116029,37,2113.883631
0.031483,13,2121.80214
0.017059,18,2132.630272
-0.426171,34,2152.943644
0.017517,27,2169.120585
-0.140699,22,2182.499638
-0.027432,13,2190.31324
0.111359,60,2226.563967
-0.158449,54,2258.854634
0.082132,26,2274.351752
-0.18169,60,2310.310689
-0.011498,31,2328.829894
0.221393,38,2355.553861
-0.000778,23,2369.37055
-0.459826,39,2392.479
0.01372,15,2401.523251
0.114812,24,2415.735229
-0.020099,46,2443.062098
0.046692,28,2461.587285
0.193312,39,2484.787442
0.11045,33,2504.452324
0.131148,26,2520.107871
0.201267,53,2552.063909
0.079179,20,2563.927725
0.029352,15,2572.711894
0.012683,29,2590.030017
0.377021,38,2612.520151
0.01203,15,2621.449706
-0.067189,15,2630.295835
-0.054145,10,2636.210091
-0.025106,16,2645.746384
0.056591,28,2666.730874
0.064785,48,2695.50339
0.042151,19,2706.789428
-0.08941,16,2716.315617
-0.123432,30,2734.351791
0.136512,23,2748.092475
0.103561,20,2759.972293
0.021414,35,2780.873722
-0.038134,15,2789.811319
0.130891,26,2805.116291
0.17668,35,2827.678787
0.024752,14,2836.229723
0.383803,29,2853.418653
0.007734,36,2874.937338
0.070029,34,2895.081195
0.065941,27,2911.175519
-0.103335,20,2923.132793
0.036338,18,2934.043454
0.150346,20,2945.846997
0.009268,28,2962.624423
0.209983,37,2988.731
0.097768,28,3005.48388
-0.082246,22,3018.540477
0.221262,25,3033.519398
-0.009116,12,3040.739321
0.150739,17,3050.838263
0.062687,27,3066.961326
0.384884,52,3097.983087
-0.01393,29,3115.369476
0.335763,33,3135.268937
0.18009,22,3148.287961
0.273731,76,3193.731735
0.16122,31,3215.134227
-0.156954,27,3231.301038
0.077301,19,3243.079333
0.091899,37,3267.023879
0.009333,31,3290.780235
0.106701,21,3303.812098
0.145901,15,3313.275058
0.035954,24,3328.323294
-0.004624,35,3351.625374
-0.000871,14,3360.451504
0.212828,33,3383.59687
0.0494,15,3392.98712
0.015343,18,3404.012892
0.038179,24,3418.481504
-0.142746,38,3443.3777
0.288277,51,3474.84689
0.215664,23,3488.867211
0.166335,53,3521.131825
0.396311,108,3587.990119
0.244047,33,3609.491205
0.199359,24,3628.569597
0.217553,24,3643.2801
0.052237,16,3652.981356
0.171071,25,3668.321766
0.099901,18,3679.64125
0.051677,34,3700.338242
0.112077,35,3721.684272
0.043658,14,3730.440409
0.079536,39,3754.207298
0.341199,49,3784.191156
0.212913,26,3800.201463
-0.004427,37,3822.629864
-0.092288,15,3831.802963
0.033056,21,3844.678038
-0.023066,40,3869.203342
0.178562,26,3884.918318
0.267843,38,3908.140427
0.098654,65,3952.195968
0.277943,26,3968.527477
0.212466,29,3986.507226
0.14777,16,3997.484805
0.041937,19,4011.774473
0.148544,22,4025.321242
-0.052858,25,4040.495363
-0.060686,30,4058.989056
0.018981,14,4067.641798
0.10901,22,4080.855331
-0.186077,25,4096.213495
0.147354,28,4113.356215
0.136988,27,4129.941822
0.144667,22,4143.4205
-0.042335,38,4166.72359
-0.002872,60,4203.120472
0.018421,24,4217.301683
0.197077,61,4257.790662
0.376887,47,4285.518885
0.150773,36,4306.677238
0.026196,41,4331.003041
0.264143,51,4361.143337
-0.209977,22,4374.133429
-0.011121,66,4415.189183
0.122503,46,4442.312386
0.111726,34,4462.267254
0.235493,26,4477.482575
0.121876,27,4494.125431
-0.095341,16,4503.526965
0.062454,27,4519.792001
0.164843,13,4527.466641
0.055193,10,4533.435534
0.094223,35,4554.276766
0.055508,23,4571.774871
-0.048555,41,4596.287902
0.334806,32,4615.513137
0.333475,45,4642.627445
0.323372,35,4663.665054
0.145913,26,4679.326414
0.075118,19,4690.984561
0.346412,42,4716.774297
0.21355,33,4736.82473
0.115041,28,4753.894859
-0.29421,44,4781.988488
0.306406,39,4805.794351
0.26501,23,4819.768018
0.068812,21,4832.483204
0.030465,30,4850.817241
0.130931,23,4864.764104
0.106609,30,4886.896446
0.434336,32,4906.334785
0.190908,29,4923.912578
0.179299,22,4937.317565
1.109462,125,5013.595474
0.130377,41,5038.468304
0.309261,31,5057.273849
0.753382,93,5113.586601
0.782605,106,5179.929698
0.204409,51,5215.1764
0.105669,16,5224.94453
0.168892,33,5245.097452
0.534612,67,5285.68785
0.191793,26,5301.429595
0.068981,17,5311.837477
0.057323,31,5330.48668
0.15741,28,5347.892744
0.080279,28,5365.051898
0.628061,77,5412.14197
0.217313,33,5432.388308
0.166727,19,5443.832554
0.116192,28,5460.675756
0.454421,49,5490.320374
0.107238,18,5501.190165
0.267295,26,5520.874325
0.200108,32,5542.20042
0.159171,38,5565.170817
0.868924,107,5630.127435
0.292747,63,5669.915977
0.970505,94,5727.030274
0.765436,76,5773.151716
0.041985,45,5800.176166
0.166427,31,5818.885427
0.278853,38,5846.103444
0.1064,18,5857.195853
0.194255,18,5867.926061
0.061116,89,5921.949153
0.323035,39,5948.649991
0.256491,25,5963.661973
0.087145,32,5983.097112
0.160018,49,6012.76259
0.214459,48,6041.362285
0.082093,28,6058.482419
0.213384,35,6079.672008
0.261076,40,6103.875089
0.307779,70,6150.151156
0.389588,56,6183.924155
1.056036,131,6262.826354
0.013018,17,6273.139923
1.028941,95,6335.304454
0.068856,55,6368.257509
-0.160152,16,6377.865857
0.361888,47,6406.045863
1.208913,123,6483.629262
0.763969,77,6529.557767
0.807951,138,6612.882528
1.430304,153,6714.065165
0.200567,29,6731.473594
0.086652,40,6755.363794
0.26503,54,6791.843461
0.160026,35,6812.928417
0.464078,45,6840.606596
0.760224,64,6879.612089
0.828672,96,6938.981507
0.225921,35,6959.739178
0.294293,33,6979.09696
1.036025,177,7093.189922
1.552375,144,7183.216809
0.636345,66,7223.187956
0.447716,29,7240.222895
0.730763,131,7319.056482
0.948773,160,7423.106359
1.801656,149,7555.159463
2.075249,172,7661.874617
1.216225,177,7770.093861
1.011428,121,7848.772346
3.166925,352,8098.773149
1.038177,92,8157.125559
2.672622,257,8310.43313
4.337832,452,8630.31013
0.866704,62,8668.046528
7.529776,1000,9376.160392
8.223331,1000,10039.328981
11.298832,966,10726.311438
10.437342,1000,11432.619971
12.636743,1000,12087.267838
11.572612,1000,12793.314272
11.338857,1000,13443.282668
12.47297,1000,14146.11023
9.774251,1000,14850.730109
15.916975,1000,15506.976559
1.570659,77,15552.670175
17.393603,1000,16255.936844
10.306634,832,16805.101719
5.309958,423,17112.083922
11.128187,1000,17816.023418
12.855732,1000,18468.026241
13.71266,1000,19169.582977
16.275957,1000,19819.652005
14.908506,1000,20522.408035
15.280556,1000,21227.336444
16.693386,1000,21880.727908
10.922569,1000,22592.254569
16.128027,1000,23248.087586
18.612168,1000,23954.915346
18.484467,1000,24658.177347
18.285924,1000,25306.517987
18.809697,1000,26005.668147
18.959185,1000,26657.08856
16.974238,1000,27371.577053
18.560196,1000,28077.291338
16.218371,1000,28736.472016
18.79249,1000,29439.813384
20.092685,1000,30085.291396
19.825096,1000,30779.888798
18.962006,1000,31479.523895
21.368397,1000,32124.109221
20.657974,1000,32822.923079
18.531329,1000,33467.968503
21.474086,1000,34164.558035
21.331689,1000,34860.849336
18.749852,1000,35505.137525
15.298057,1000,36199.253323
20.068041,1000,36845.667684
19.856389,1000,37540.284962
16.245813,1000,38235.699411
24.65103,1000,38878.762828
20.451002,1000,39575.397495
24.675979,1000,40220.556255
20.287363,1000,40913.496443
23.0572,1000,41607.530395
24.256683,1000,42251.830153
