#{"t_start": 1654173356.089462, "env_id": "A1GymEnv-v0"}
r,l,t
-0.230399,54,33.645124
-0.300696,24,48.162366
-0.546399,52,80.986123
-0.442492,63,118.534845
-0.43852,28,135.607286
-0.471802,36,157.112744
-0.00139,69,199.071025
-0.401669,23,213.980076
-0.742968,46,241.10385
-0.107148,38,264.062577
-0.229766,19,275.592431
-0.260803,33,295.485995
-0.11806,36,321.120542
-0.190833,35,342.251746
-0.189994,14,351.206283
-0.54787,40,376.156768
-0.256008,37,451.150423
0.031752,29,468.44731
-0.078617,25,483.418658
-0.299048,40,507.456523
-0.366422,29,524.850537
-0.18169,36,546.328903
-0.177349,39,569.552439
-0.082828,26,585.371638
-0.15029,25,600.345991
-0.267952,31,618.9672
0.030953,18,630.020983
-0.494629,42,655.759855
-0.403432,18,666.52978
-0.176655,58,705.141256
-0.28286,39,728.223256
-0.107291,30,746.128248
-0.204635,65,785.265551
-0.162141,24,799.460563
-0.38532,62,888.901268
-0.252219,32,907.923831
-0.359564,38,930.538994
-0.042767,14,938.868552
-0.124394,33,958.851903
-0.323078,36,980.782329
-0.273446,19,992.209909
-0.628099,74,1036.589205
-0.095593,26,1055.998676
-0.083492,61,1092.037215
-0.453743,26,1107.662861
-0.143265,22,1120.924113
-0.168762,27,1136.876688
-0.297741,42,1161.931225
-0.182621,33,1181.639933
-0.344635,39,1205.384788
0.048322,37,1227.538899
-0.135302,14,1235.890285
-0.147233,22,1277.523205
-0.1845,28,1294.798606
-0.3462,39,1319.00985
-0.237795,49,1347.96378
-0.14074,54,1380.213368
-0.466733,65,1423.189204
-0.006673,35,1444.225096
-0.006751,18,1455.04296
-0.061118,21,1467.512293
-0.01865,75,1512.30499
-0.118178,19,1523.576876
-0.073652,16,1533.105285
-0.123412,22,1546.262914
-0.040627,24,1560.8666
-0.285976,20,1572.773243
0.007617,48,1601.566491
-0.311604,21,1614.12054
-0.224686,21,1626.839837
-0.256894,33,1646.488625
-0.107984,39,1692.662362
-0.039964,24,1706.813796
-0.204564,15,1719.721861
-0.055889,30,1737.730636
-0.057742,21,1750.612082
0.031166,20,1762.686219
-0.129451,22,1776.017201
0.039605,63,1813.710108
-0.093821,15,1822.673369
0.284372,63,1860.616655
-0.138028,41,1885.346674
-0.044532,46,1912.944574
-0.021904,18,1923.479249
0.275951,64,1961.827325
-0.032402,17,1972.087355
0.039153,15,1980.949742
-0.108549,76,2030.05115
0.059156,19,2041.35746
0.149109,30,2059.254604
-0.16099,40,2085.348368
-0.117966,29,2102.939535
-0.107062,36,2124.792839
-0.134538,27,2140.84314
-0.137368,24,2155.267558
0.037915,29,2172.803396
0.00431,17,2183.017071
0.025941,28,2199.742497
0.083624,24,2214.225417
-0.003714,24,2228.980022
-0.097825,23,2242.707568
0.030484,25,2257.527383
-0.014125,20,2269.521664
-0.112257,14,2277.825279
0.196271,43,2303.643438
-0.112653,20,2315.596046
0.12298,51,2350.072255
0.001204,20,2362.114492
-0.073224,16,2371.581204
0.039911,26,2387.064819
-0.031836,44,2413.27833
-0.160351,13,2421.079147
0.141923,30,2438.800421
0.097479,27,2456.726019
-0.020925,18,2467.508039
0.08457,31,2485.922701
-0.011792,26,2501.455114
-0.183267,31,2520.073683
0.006265,21,2532.674242
-0.02344,25,2547.811368
0.377635,52,2578.596816
-0.03106,18,2589.38003
0.000692,11,2595.79884
-0.134181,32,2614.770353
-0.031761,37,2636.689499
-0.090294,20,2648.61283
0.042374,20,2665.011264
0.079602,49,2694.121604
0.072208,24,2708.498885
0.21541,30,2726.450955
0.230036,40,2750.354944
0.163248,41,2774.821041
0.037139,18,2785.5509
0.136187,14,2793.851257
0.209799,36,2815.490344
-0.092442,19,2828.291014
-0.040029,15,2837.200402
-0.005711,20,2849.158127
0.046772,21,2861.592356
-0.085713,13,2869.462658
0.039368,25,2884.28925
-0.207725,29,2901.479249
0.036338,22,2914.717039
-0.546514,28,2931.516045
-0.019477,16,2941.00595
0.081817,23,2954.717528
0.17057,40,2982.685511
0.101372,24,2997.037189
-0.013491,17,3007.102203
-0.066181,14,3015.501706
-0.138366,15,3024.467021
0.113672,27,3040.556654
-0.02276,26,3056.02955
0.044915,16,3065.709381
0.059058,33,3085.416684
0.069645,28,3102.123707
-0.042268,12,3109.315862
-0.111738,18,3120.223554
-0.030095,21,3132.735647
-0.083171,29,3150.114768
-0.35482,40,3173.93511
0.169465,28,3190.64294
0.159826,36,3215.174964
0.066723,33,3235.112523
-0.148819,20,3248.262125
0.057929,13,3256.473909
0.036435,33,3281.56404
0.050149,30,3300.430529
0.128463,25,3316.016244
0.087996,36,3339.5072
0.11772,25,3355.788675
0.091511,22,3371.704818
0.343831,44,3399.161344
0.148929,34,3420.337819
0.224433,31,3440.483115
0.021774,38,3463.946586
0.099538,38,3487.162808
0.241014,27,3503.417612
0.190963,33,3523.872574
0.139773,17,3534.138571
0.095066,52,3566.289894
0.067916,17,3577.075001
0.498443,53,3615.087301
0.108373,23,3629.378162
0.169486,23,3643.317525
0.091604,16,3653.110655
0.020075,24,3668.022055
0.075212,28,3685.272198
0.157204,26,3701.066587
-0.054064,42,3726.786709
0.243952,26,3742.645399
0.122536,26,3758.504326
0.016999,40,3783.094591
0.015861,12,3790.451813
0.046756,20,3802.606126
0.218813,23,3816.58738
0.225186,20,3828.745629
0.026564,14,3837.379449
0.101374,17,3847.687582
0.003214,31,3866.765357
-0.066695,35,3888.104328
0.088899,16,3897.769083
0.170727,39,3925.462016
0.091919,16,3935.396765
0.093368,37,3958.718511
0.136411,22,3972.210191
-0.028528,20,3985.09321
0.11439,16,3998.264412
0.163305,54,4031.395366
0.045065,31,4050.437577
0.072244,20,4062.766359
-0.07598,27,4079.037678
0.17334,37,4101.782486
0.28214,34,4122.670276
0.232226,21,4135.522097
0.162287,30,4153.899279
0.162767,29,4171.567935
0.107145,11,4178.165656
0.170402,42,4203.626402
0.023522,12,4210.632657
-0.122311,43,4236.243088
0.280297,88,4292.432468
0.147448,19,4303.555678
0.335183,68,4343.812493
0.156321,39,4366.901214
-0.010881,65,4407.30821
0.33863,42,4432.111259
0.288168,27,4447.879506
0.214886,38,4470.218274
0.11109,37,4492.693208
0.075063,16,4502.448821
0.160653,33,4522.029855
0.068467,22,4535.147739
0.283608,31,4557.347999
0.110948,15,4566.332704
-0.007004,31,4584.898829
0.284424,31,4603.34518
0.198889,25,4618.459533
0.101858,24,4632.88009
0.157666,30,4651.002188
0.160871,35,4672.073128
0.116374,16,4681.894505
0.416626,43,4708.352396
0.101627,25,4723.574414
0.160485,26,4739.34879
0.418729,36,4762.599475
0.065019,16,4772.368582
0.133502,15,4781.383285
-0.10513,48,4810.661616
0.208969,70,4853.269889
0.059695,68,4898.427243
0.04291,60,4934.921421
0.072567,21,4947.727121
0.032617,27,4964.257979
0.096332,23,4978.375166
-0.025148,32,4997.778505
0.334791,39,5021.556678
0.186742,22,5034.874
0.248583,39,5058.401419
-0.00844,36,5080.135247
0.036162,25,5095.282271
-0.010132,12,5102.573283
-0.050486,33,5122.754697
0.373481,40,5148.32297
0.146759,13,5156.242146
0.099734,12,5163.593904
0.113153,20,5176.391189
0.120739,36,5202.396451
0.043033,20,5214.616146
0.257989,43,5240.924953
0.085058,18,5251.85025
0.336946,34,5272.374418
0.146323,35,5293.63442
0.156935,17,5303.939408
-0.185219,22,5317.232494
0.070457,30,5335.552246
0.157011,18,5346.753539
0.032341,15,5355.933683
0.104705,28,5372.813068
0.078607,19,5384.438024
0.36343,62,5422.722159
0.068959,44,5449.125929
0.224704,29,5466.747969
0.214102,41,5491.482695
0.167365,38,5518.326108
0.05019,21,5530.799093
0.171984,21,5545.834563
0.163207,26,5561.583123
0.061784,27,5577.888426
0.167457,26,5593.416873
0.354039,42,5619.172927
0.210196,48,5649.370436
-0.098757,23,5663.859426
0.130372,18,5674.787174
0.606578,108,5740.455778
0.257348,21,5753.207642
0.042099,16,5762.90384
0.159531,22,5776.12197
0.033554,29,5793.510558
0.114362,28,5810.438415
0.281912,35,5835.816727
0.129777,44,5862.530381
0.38972,42,5887.879907
0.186019,41,5912.887022
0.204252,41,5940.787217
0.03073,13,5948.655741
0.315796,35,5969.800514
0.374472,61,6006.723105
0.170861,25,6021.580248
0.347791,36,6043.254789
0.327014,38,6066.313671
0.28544,32,6085.705359
-0.069909,27,6102.09739
0.27374,28,6118.988557
0.843855,55,6156.210684
0.564511,49,6185.723747
0.193054,21,6198.31575
0.390048,40,6222.501672
0.143563,18,6233.299536
0.472515,42,6258.612937
0.95424,62,6296.040215
0.477936,56,6334.650253
0.688334,57,6368.818676
0.586899,69,6410.205551
0.222775,32,6429.491288
0.236603,35,6450.452994
0.593383,54,6486.60009
0.426242,57,6520.515358
0.213029,50,6550.716164
0.66136,41,6575.45901
0.457362,71,6618.133956
0.710239,71,6660.679449
0.975478,98,6729.045744
0.590791,89,6786.442521
0.087705,50,6816.707649
0.833339,103,6880.102776
0.801044,82,6930.492658
2.080715,244,7076.712126
0.314362,46,7115.626114
0.093724,47,7143.514017
0.139176,23,7157.25429
1.922699,240,7301.008908
0.268628,32,7320.775588
0.774115,90,7375.93368
0.29608,53,7414.474977
0.201817,25,7432.223266
2.287156,257,7630.043638
2.39944,239,7780.166677
1.769689,196,7899.283384
2.429742,257,8092.11981
0.565919,65,8134.532537
8.379349,790,8656.388878
0.672692,150,8796.831112
2.573494,301,8978.929402
1.172761,84,9028.771097
10.175238,1000,9740.915206
9.192375,1000,10401.506976
9.671479,1000,11108.391049
11.233539,909,11708.807118
7.36368,709,12240.607668
9.450984,1000,12892.39146
10.116309,1000,13595.258815
12.587941,1000,14244.881563
11.654116,1000,14953.365755
15.140749,1000,15657.89243
9.714711,1000,16309.913408
15.338294,1000,17014.339739
12.206406,1000,17666.936589
15.20385,1000,18371.174173
13.104941,1000,19072.255336
14.589516,1000,19722.735415
14.741152,1000,20425.288916
13.459042,1000,21077.845447
14.795493,1000,21779.460894
13.831218,1000,22489.184463
17.931634,1000,23147.470855
20.389293,1000,23853.786421
21.842288,1000,24505.566202
20.873626,1000,25206.705352
17.953793,1000,25904.588119
16.351965,1000,26560.018701
20.301716,1000,27272.551937
17.251753,1000,27926.320201
16.929337,1000,28639.021073
18.31438,1000,29342.165721
18.991226,1000,29989.38512
19.53071,1000,30683.994466
16.502764,1000,31331.074611
18.027683,1000,32027.949186
16.258742,1000,32726.289145
19.717714,1000,33371.834499
7.954783,525,33735.524235
19.267098,1000,34431.197618
9.421165,554,34759.864534
22.925637,1000,35455.010531
20.105352,1000,36149.313672
18.793536,1000,36795.625455
21.959257,1000,37490.432082
20.604548,1000,38133.395407
18.452929,1000,38825.129562
22.986014,1000,39521.621991
22.875015,1000,40166.939738
14.669337,1000,40863.249076
22.413945,1000,41506.592148
2.121712,183,41668.444517
