#{"t_start": 1654173349.4834952, "env_id": "A1GymEnv-v0"}
r,l,t
-0.412738,20,18.879436
-0.741668,85,70.446237
-0.316213,41,96.8127
-1.108114,57,130.626513
-1.051709,121,203.956711
-0.681149,41,229.580731
-0.225638,23,243.234487
-0.202366,35,264.14996
-0.431504,53,296.211938
-0.267837,28,313.206917
-0.272974,42,342.363178
-0.754318,93,452.479954
-0.444894,30,470.43713
-0.66006,52,501.80729
-0.331828,35,522.518529
-0.513853,29,539.924523
-0.04688,41,564.426218
-0.188524,39,587.832153
-0.266896,42,613.136938
0.003101,27,629.440154
-0.230657,29,647.453247
-0.529499,39,670.894259
-0.23337,26,690.466331
-1.019437,88,742.75102
-0.119248,41,767.364239
-0.564866,58,802.204022
0.132773,55,887.272051
-0.085716,55,920.126538
-0.308144,29,937.317071
-0.340815,55,970.562436
-0.420099,44,997.141502
-0.383413,44,1023.853325
-0.193491,37,1045.75385
-0.260726,45,1076.291368
-0.150938,26,1091.789764
-0.109199,18,1102.373913
-0.302475,68,1143.055846
-0.133925,40,1166.908157
0.013993,39,1190.222687
-0.467897,23,1204.128779
0.085322,20,1216.404492
-0.212384,41,1240.828306
-0.41226,35,1290.210754
-0.117129,34,1311.397589
-0.2689,69,1352.956222
0.071111,128,1433.586393
0.125552,35,1454.646494
-0.009904,27,1470.699358
-0.317345,23,1484.456291
0.034457,17,1494.591495
-0.187507,20,1506.541272
-0.015128,24,1520.905974
-0.116343,16,1530.384432
-0.015297,51,1560.830211
-0.239976,51,1591.484579
-0.244808,66,1631.231581
-0.093075,24,1645.503656
-0.271734,23,1659.178517
-0.590711,100,1745.693878
-0.105849,30,1764.12601
-0.115923,34,1784.561989
-0.028631,36,1805.982113
-0.073762,43,1831.874207
0.031806,46,1859.441017
0.021067,28,1876.531626
0.033961,54,1908.945464
-0.027855,17,1919.105927
0.076846,46,1946.563341
-0.083167,25,1961.522532
-0.02685,35,1982.380711
0.213544,22,1995.524372
0.032743,18,2006.284999
-0.179194,34,2026.290757
0.093224,35,2051.08601
-0.135877,21,2063.622111
0.028386,37,2087.917778
-0.097168,23,2101.869604
-0.23326,17,2112.198923
-0.006753,37,2134.564542
0.126004,30,2152.445785
-0.180911,31,2171.083091
0.000454,25,2186.207834
-0.14203,34,2206.537233
0.061264,24,2221.028239
-0.17782,18,2232.125859
-0.175533,27,2248.272055
-0.117758,45,2275.095574
-0.006157,20,2287.048748
0.027617,30,2305.005216
-0.211605,17,2315.322205
0.069106,15,2324.194312
-0.255436,46,2355.665428
-0.028244,46,2383.146776
-0.08552,30,2401.046205
0.061297,24,2415.24505
-0.018196,23,2429.061093
0.022371,19,2440.173267
0.003659,30,2459.920157
0.284235,53,2491.515995
-0.062069,18,2502.178629
0.202598,24,2516.576841
0.033728,53,2548.471684
0.033514,23,2562.276481
0.026497,31,2580.513064
-0.045163,25,2595.551776
0.092141,27,2611.423265
0.173654,25,2626.297757
-0.182318,21,2638.732443
-0.289981,28,2659.227856
-0.058506,20,2671.792589
0.314005,44,2697.969623
0.048073,22,2711.092881
0.025312,27,2727.30763
-0.084805,29,2744.616364
-0.036918,20,2756.529896
0.099019,22,2769.568362
0.031557,23,2783.424788
0.08776,20,2795.273381
-0.014923,20,2807.101962
0.288175,55,2841.59563
0.120867,33,2861.285666
0.051849,12,2868.361332
-0.002515,22,2881.515928
0.043635,23,2895.193759
-0.121953,24,2909.423258
0.104047,45,2936.536367
0.044827,16,2945.960332
-0.168988,32,2965.162736
0.229438,55,3002.034164
-0.00954,24,3016.270172
-0.653745,69,3057.538498
0.039236,15,3066.474809
0.112208,17,3076.66056
0.036376,22,3089.827818
0.196894,28,3106.5267
0.15068,25,3121.608831
-0.076275,44,3147.811469
0.10123,24,3162.256547
0.033412,32,3181.351657
0.142971,22,3194.455168
0.203802,18,3207.636497
0.100122,21,3220.827529
-0.015501,21,3233.269842
0.079063,25,3249.095383
0.021394,25,3265.148409
0.100693,28,3287.114984
0.083632,44,3314.686546
0.151357,29,3332.863722
0.091049,28,3351.73433
-0.255178,48,3384.42054
0.13089,17,3395.050505
0.142949,17,3405.318004
-0.002783,40,3430.172009
0.450824,54,3464.535146
0.178872,26,3480.449951
0.146346,19,3492.09272
0.028185,41,3516.983118
0.12595,17,3527.545671
0.118455,31,3546.581547
-0.035879,33,3566.881107
0.063302,25,3582.630855
0.075957,19,3594.191866
0.140997,24,3614.560356
0.119153,57,3649.468927
-0.254081,22,3662.975935
0.163117,14,3671.64749
0.17512,25,3687.184475
0.462234,62,3724.897103
0.237499,50,3755.571435
0.132952,20,3767.718213
0.012346,19,3779.394295
0.149959,26,3795.37372
0.443931,53,3827.736419
0.196205,58,3863.16836
-0.040145,17,3873.557544
0.231614,34,3894.304919
0.187291,38,3917.411194
0.257173,42,3947.181436
-0.25284,48,3977.160527
0.199213,20,3989.880891
0.037036,15,4002.532414
0.554651,48,4032.072298
0.080619,25,4047.299627
0.051519,15,4056.618387
0.146915,29,4074.345385
0.142802,38,4097.534823
0.238548,35,4119.054705
-0.021153,14,4127.611387
0.014718,22,4141.086174
0.141085,17,4151.475126
0.254399,47,4180.136752
-0.007354,29,4197.672557
0.164482,21,4210.406476
0.164629,27,4226.31651
0.105007,21,4238.829741
-0.221958,16,4252.527542
0.161579,20,4264.360968
0.043664,15,4273.218431
-0.048523,24,4287.414993
-0.169816,51,4317.520798
-0.06542,28,4334.108096
0.135684,29,4351.168636
-0.007154,24,4365.519915
0.073988,26,4380.856884
0.142942,33,4402.309553
0.193321,25,4417.108998
0.006901,24,4431.26812
0.120513,33,4450.646554
0.296884,19,4461.766508
0.078592,16,4471.171367
0.063172,45,4498.285202
0.184417,43,4524.006723
0.126116,22,4537.13954
0.148695,41,4565.377043
0.329491,58,4600.032891
0.077804,29,4617.522552
0.174964,27,4633.581625
0.005523,14,4642.157742
0.174397,59,4677.658345
0.03474,9,4683.140617
0.066339,25,4698.591311
0.266901,27,4715.13915
0.031041,31,4733.96848
0.032012,21,4746.73332
0.181746,26,4763.80987
0.16265,26,4779.75512
0.070543,16,4789.396694
0.292513,41,4814.333983
0.137407,17,4824.712742
